Field,Category,Missing_Count,Total_Files,Missing_Percentage
dataset/availability,Data,344,1012,33.99209486166008
dataset/provenance,Data,13,1012,1.2845849802371543
dataset/redundancy,Data,218,1012,21.541501976284586
dataset/splits,Data,126,1012,12.450592885375494
evaluation/availability,Evaluation,380,1012,37.54940711462451
evaluation/comparison,Evaluation,35,1012,3.458498023715415
evaluation/confidence,Evaluation,92,1012,9.090909090909092
evaluation/measure,Evaluation,1,1012,0.09881422924901186
evaluation/method,Evaluation,0,1012,0.0
model/availability,Model,541,1012,53.458498023715414
model/duration,Model,663,1012,65.51383399209486
model/interpretability,Model,5,1012,0.4940711462450593
model/output,Model,0,1012,0.0
optimization/algorithm,Optimisation,4,1012,0.3952569169960474
optimization/config,Optimisation,212,1012,20.948616600790515
optimization/encoding,Optimisation,6,1012,0.592885375494071
optimization/features,Optimisation,76,1012,7.5098814229249005
optimization/fitting,Optimisation,15,1012,1.4822134387351777
optimization/meta,Optimisation,8,1012,0.7905138339920948
optimization/parameters,Optimisation,45,1012,4.446640316205533
optimization/regularization,Optimisation,13,1012,1.2845849802371543
publication/authors,Publication,239,1012,23.616600790513832
publication/doi,Publication,420,1012,41.50197628458498
publication/journal,Publication,91,1012,8.992094861660078
publication/pmcid,Publication,0,1012,0.0
publication/pmid,Publication,0,1012,0.0
publication/tags,Publication,2,1012,0.1976284584980237
publication/title,Publication,288,1012,28.458498023715418
publication/year,Publication,2,1012,0.1976284584980237
