matches_publication/journal,matches_evaluation/measure,publication_title,matches_optimization/parameters,publication_skip,publication_tags_3,public,publication_tags_2,uuid,matches_dataset/provenance,created,matches_model/duration,matches_publication/doi,matches_optimization/meta,publication_created,matches_publication/title,updated,matches_model/availability,matches_optimization/features,matches_optimization/algorithm,matches_publication/updated,score,matches_dataset/splits,matches_dataset/redundancy,publication_updated,publication_done,matches_optimization/fitting,publication_pmid,publication_tags_0,publication_journal,shortid,_id,publication_authors,matches_evaluation/method,matches_publication/tags_3,publication_tags_1,matches_publication/tags_2,matches_publication/authors,matches_evaluation/confidence,matches_evaluation/comparison,matches_evaluation/availability,publication_doi,matches_optimization/encoding,publication_year,matches_publication/tags_1,matches_optimization/regularization,matches_model/interpretability,matches_dataset/availability,matches_model/output,matches_optimization/config,matches_publication/tags_0
BMC Bioinformatics,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,,0,,True,,66a94333-8cd1-499c-86ef-0497a4c4dabc,,2022-09-01T15:16:05.444Z,,,,,Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.,2022-09-01T15:16:05.444Z,,,ensemble decision tree model,01/28/2022 00:13:56,0.67,,,01/28/2022 00:13:56,0,,16524483,,BMC Bioinformatics,6i0xepuivt,63516fedb9c880af1f305b5c,"Wang H, Zheng H, Simpson D, Azuaje F",five-fold cross-validation,,,,"Wang H, Zheng H, Simpson D, Azuaje F",,,,10.1186/1471-2105-7-116,,2006,,,Black box,"yes, https://www.nature.com/articles/s41467-019-12812-3#Sec24",,,
BMC Bioinformatics,accuracy and segment-overlap value for alpha helix (SOVa),Learning biophysically-motivated parameters for alpha helix prediction,,0,,True,,b863eb51-d9ae-4fc0-bfd4-006db90d1631,"Data is extracted from the PDB. Data are in classes (alpha-helix vs other), however, it is not clear ho many alpha-helix residues (positive example) are present within the 300 proteins in the dataset. Dataset previsouly used in other studies and recognized by the community (no logner available)",2024-03-27T13:25:49.790Z,,,,,Learning biophysically-motivated parameters for alpha helix prediction,2024-03-27T13:25:49.790Z,,f=380. No feature selection performed. ,support vector machine classifyer. The algorithm is not new.,,0.76,Traning set: 150 proteins; Testing set: 150 proteins. Distributions of data classess in training and testing not shown. No validation set adopted. ,All proteins in the dataset are non-homologous all-alpha proteins. Unclear how redundancy reduction is performed.,,,p is much lower than number of training points. Not clear how potential undefitting has been ruled out,17570862,,BMC Bioinformatics,qx3ex71jye,66041e5d1502715bfe53d70a,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",Repeated random traing/test split,,,,"Blaise Gassend, Charles W O'Donnell, William Thies, Andrew Lee, Marten van Dijk and Srinivas Devadas",Not reported,Cmparison with other approaches is missing. No baseline method is considered,Not available,10.1186/1471-2105-8-S5-S3,Residue are encoded with different propensity scale for a residues to by in alpha-helix or coil,2007,,No regularization applied. Validation set not used.,"Model is interpreatable, since paramenters learning by the SVM corresponds to interpretable paramenters of an energy function",,binary classification,,
BMC Bioinformatics,ROC curve,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,"Unclear, approximately in the range of the number of features",0,,True,,600b20de-7c70-41af-ad39-33121af090ef,"Data are extracted from different databases (TAIR, AtGenExpress Consortium, NASCArrays). Data are in classes. Npos and Nneg are not reported.",2024-03-26T17:49:30.048Z,not stated,,,,Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements,2024-03-26T17:49:30.048Z,,290 features. no feature selection performed.,"Different supervised and unsupervised learning algorithms: logistic regression, linear discriminant analysis, quadratic discriminant analysis, naive Bayes, k-nearest neighbors, PCA. No new algorithm developed.",,0.71,"Training set: 11553 data points, No test nor validation sets have been used.  Performance is scored using cross-validation only.",Random split has been adopted for cross-validation. No redundancy check performed.,,,p is much lower than the number of features. Unclear how potential underfitting was handled,17888165,,BMC Bioinformatics,ysqyy92zyr,66030aaa1502715bfe53d65c,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",cross validation,,,,"Hui Lan, Rachel Carson , Nicholas J Provart and Anthony J Bonner",no confidence interval reported. No statistical significance over baselines has been computed,no comparison with other approaches perfomed,,10.1186/1471-2105-8-358,Gene expression data,2007,,Not adopted,"Model is partially interpretable, since classifier paramenters can be used to assess how gene expression data related to gene response to stress.",,,,
BMC Genomics,Precision as a function of effective aligned sequences,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,,0,,True,,147ddf2b-6b53-4335-b62f-87994d284310,,2022-09-01T15:16:05.445Z,,,"Yes, combination of different alignments  tested on independent datasets",,Predicting protein function by machine learning on amino acid sequences--a critical evaluation.,2022-09-01T15:16:05.445Z,,672 features,Two stage neural network approach,03/09/2022 10:14:51,0.67,,Not assessed. In principle de novo protein structure prediction experiments should involve protein with no similarity with those in public available databases,03/09/2022 10:14:51,0,Newly crystallized proteins should avoid overfitting ,17374164,,BMC Genomics,nlj5x3dld8,63516fedb9c880af1f305b93,"Al-Shahib A, Breitling R, Gilbert DR",Independent dataset form CASP11,,,,"Al-Shahib A, Breitling R, Gilbert DR",,Performance achieved with methods based on automatic multiple sequence alignment calculation,,10.1186/1471-2164-8-78,,2007,,,Black box,Casp 11 website (https://predictioncenter.org/casp11/index.cgi),Classification prediction of residue contact.,,
BMC Bioinformatics,Per-class error rate,Combining classifiers for improved classification of proteins from sequence or structure,Not clearly declared.,0,,True,,804c2b2b-e663-4d3a-8042-7d2a35ad2122,"Data taken from SCOP database (release 1.69). Multi-class data where each class corresponds to a SCOP superfamily. Number of superfamilies is 74 and 1458 in in Set A  and Set B, respectively.  Number of proteins is 643 and 2182 in Set A and Set B, respectively.",2024-03-27T12:21:53.450Z,not reported,,,,Combining classifiers for improved classification of proteins from sequence or structure,2024-03-27T12:21:53.450Z,"yes, thrugh the author website",,Combined kNN and SVM. ,,0.81,"Dataset A: N_train=543 (proteins), N_test=110 (proteins) ; Dataset B: N_train=1740 (proteins), N_test=442 (proteins)","Testing set should be independent, given that split has been perfomed at the level of SCOP superfamilies",,,Cannot be determined,18808707,,BMC Bioinformatics,vwy8sti3pw,66040f611502715bfe53d6e7,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",cross-validation and independent test set,,,,"Iain Melvin, Jason Weston , Christina S Leslie and William S Noble",not reported,"Yes, with a single external tool (AutoSCOP)","yes, through the author website",10.1186/1471-2105-9-389,Protein primary sequence. Profile kernel is used for SVM,2008,,No  ,,yes (URL),multi-class classification,"yes, hardcoded into the source code",
BMC Bioinformatics,AUROC and AUPR,Gene function prediction using labeled and unlabeled data.,Increases with the size of the network. They scale with the number of possible edges,0,,True,,9052c56d-022c-45d9-8b82-58312399f0dc,In silico gene expression data from DREAM Challenge 4,2022-09-01T15:16:05.445Z,,,,,Gene function prediction using labeled and unlabeled data.,2022-09-01T15:16:05.445Z,"Matlab Code
 http://www.plosone.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pone.0150611.s002",Expression level of the genes under different conditions,Learning Gaussian Bayesian networks with interventions,03/24/2022 13:09:43,0.71,Networks of different sets of genes for wt and perturbed networks,Not assessed,03/24/2022 13:09:43,0,Not assessed,18221567,,BMC Bioinformatics,ali2ohlvnk,63516fedb9c880af1f305b94,"Zhao XM, Wang Y, Chen L, Aihara K",Evaluation of two datasets,,,,"Zhao XM, Wang Y, Chen L, Aihara K",,Comparison with state-of-the-art algorithms,,10.1186/1471-2105-9-57,Global features,2008,,,,,Network reconstruction,,
,AUROC (in spite of the much higher numerosity of negative versus positive samples in the datasets).,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,"not reported. Most likely, however, the number of parameters was as in the software package by default.",0,,True,,56505402-9ea8-41a0-9132-ea658a7eee7f,"Upon ethics approval obtained locally at Waitemata District Health Board (New Zealand), hematology raw hospital data were downloaded from the Information Process Unit (IPU) of the hospitals.  Data from 43,761 patients were collected between 1 July 2019 and 8 June 2020 from two hospital's flow cytometry analyzers.     A total of 2168 of SARS-CoV-2 PCR tests could be matched to patients with Full Blood Counts (FBC) data.   9 patients with 102 FBCs were SARS-CoV-2 positive, 2159 patients with 15,243 FBCs were SARS-CoV-2 negative.",2022-09-01T15:16:05.443Z,,,,,Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.,2022-09-01T15:16:05.443Z,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.","Apparently, 20 parameters from cytofluorometry and 4 parameters from standard biochemical laboratory data were used in input.    it is not mentioned whether some of the parameters related to primary diagnoses of other diseases, or related to age, ethnicity and sex were also used.   ",Boosted decision tree,04/18/2022 16:37:38,0.9,"Models were trained, tested and then validated in an independent cohort. Due to the low number of COVID-19 PCR-positive cases, serial results for each positive case were used for descriptive statistics and in ML models, ""in the assumption that this would include the various stages of the disease and convalescence"".    A total of 102 (N_pos) instances (serial FBCs in 9 patients identified during New Zealand’s first lockdown) and 204 (N_pos) control FBCs in unique patients were used for model training and testing.   For independent validation:  11 FBCs from 3 patients with COVID-19 were used for validation with 6770 controls.","Since the 102 FBCs sample came from 9 positive patients only, independence seems doubtful. ",04/18/2022 16:37:38,0,"According to the author's statement, the AUROC values of the training (0.98) and of the testing (0.99) sets were ""most likely over-fitting"" -- (AUROC of the independent validation set resulted 0.8).                                                                                ",18586734,,Bioinformatics,5867a1dxop,63516fedb9c880af1f305b1d,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS","Validation (most likely 5-fold cross-validation, even if it not mentioned explicitly) on training set and validation on an independent set. Independent set: new data collected from 9 June 2020 to 24 August 2020 during New Zealand’s second wave.",,,,"Klammer AA, Reynolds SM, Bilmes JA, MacCoss MJ, Noble WS","AUROC from ML model was 0.80, from univariate predictor was 0.77, but the small difference was not statistically significant, according to 95% Confidence Intervals.",A comparison is reported between the boosted decision tree model and the highest univariate predictor for COVID-19 (highly fluorescent lymphocytes count % [HFLC%]).,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.",10.1093/bioinformatics/btn189,Global features.,2008,,Tools eventually applied to avoid overfitting are not mentioned.,Black box. No information about the optimized parameters were reported.,"The materials, data, code and associated protocols are available to readers with application to the corresponding author and Waitemata privacy, security and governance group with a limited data sharing agreement.     ",Binary prediction of a positive or negative SARS-CoV-2 PCR result.,Authors state that BigML models will be shared without limitations.,
BMC Bioinformatics,"Balanced accuracy, F1 score, AUPR. The last two are used as parameters which better capture the performance of a classifier in the case of a highly-imbalanced dataset.",Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,,0,,True,,28fe7de1-ac05-4cf2-bfa8-d5ddd1ba32b8,"""Data were extracted from publicly available databases: UniProt, STRING STITCH; COSMIC, NCBI,  DrugBase, DrugCentral,  FooDB, KEGG, MSigDB.   The dataset contains 2048 drugs (training dataset).   The dataset had been previously used also in https://doi.org/10.1038/s41598-019-45349-y.     The procedure in [ https://doi.org/10.1038/s41598-019-45349-y ] was used to obtain classification labels for the cancer task (positive (anti-cancer drug)/negative (non anti-cancer drug): N_pos = 209 /N_neg = 1839 drugs).   
",2022-09-01T15:16:05.443Z,"Training time is expressed as milliseconds per sample per epoch, to facilitate the estimation of the total training time the proposed neural models would need for a different dataset.",,,,Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.,2022-09-01T15:16:05.443Z,The code to reproduce the results can be downloaded from GitHub (https://github.com/ggonzalezp/hyperfoods),"Initial f0) = number of genes x number of drugs (15135x2048).  After the GNN step, each drug has an associated feature vector, so that the number of features is reduced to f < f(0). ","A  non-linear, multi-layer convolutional Graph Neural Network (GNN) was trained to encode drug features, which were then fed to a Multi-Layer Perceptron (MLP) to output a probability distribution.  The probability distributions were passed to a SVM for the binary classification of nodes. The training was end-to-end.",03/25/2022 13:35:02,0.81,"A 5-fold cross-validation was performed to assess model performance. In each split, 20% of the data is kept as the test set; from the remaining 80%, 10% is used as a validation set to perform early stopping. All splits were generated stratifying samples with respect to labels.  To balance the positive/negative classes (only 10.2% of drugs are anticancer), the contribution of each class was re-scaled to the loss function so that it is inversely proportional to class frequencies of each class during training.  ",,03/25/2022 13:35:02,0,"As far as one can tell, over-fitting could not be excluded (p >> N).  Indeed, regularization was performed.",19091017,,BMC Bioinformatics,v536tc3b5t,63516fedb9c880af1f305b1c,"Tsai RT, Dai HJ, Huang CH, Hsu WL","Cross-validation. The model was also tested on an independent dataset of 7793 food molecules, for their classification as anti-cancer or not anti-cancer, available for future experimental tests. The model outputs a high anticancer likelihood for a given food molecule if said molecule acts on the interactome through similar mechanisms of action as those of FDA-approved anticancer drugs. Among the anticancer-predicted molecules, e.g. genistein and pterostilbene show the most promise as cancer preventing agents, as indicated by substantial experimental evidence, gained from the literature.",,,,"Tsai RT, Dai HJ, Huang CH, Hsu WL","Confidence intervals and statistical significance are reported. Statistically significant higher performance measures were obtained by the used model, relative to the baseline method and to the method without network propagation used in https://doi.org/10.1038/s41598-019-45349-y.","A baseline input is used, in which all drug targets are set to zero. To motivate the use of network propagation, versions of the baseline and proposed methods without network propagation were also evaluated (for comparison to the method used in https://doi.org/10.1038/s41598-019-45349-y, which did not use network propagation). F1 score and AUPR were significantly higher with the adopted models.",Yes. (https://github.com/ggonzalezp/hyperfoods),10.1186/1471-2105-9-S12-S18,"Initially, each drug (or food molecule) is represented by a graph G of human PPI (with 15135 nodes and 177848 edges), with one binary feature per node (1 for anti-cancer, 0 for non anti-cancer).     A vector representation of the graph G is computed using a Graph Encoder, i.e. a GNN, which learns the systemic effect of drugs (or food molecules) on the PPI network.    ",2008,,"Yes.   L2 regularization on weights of the neural network was performed.    Space search:  1.10^(−5), 1.10^(−4), 5.10^(−4).  ","Transparent : The attribution recall score for the best performing model is computed, to assess whether the model predicts drugs as anticancer preferentially based on the feature values in cancer-related genes, and found to be very high (85%). This means that the graph neural model classifies drugs as anticancer preferentially based on the value of the input features in cancer-related genes, which adds to the biological plausibility of the model. In addition, 6 use cases were invetigated. For all 6 drugs studied, over-represented pathways successfully recovered pathways described in the literature along with cancer-related
 pathways. This means that the representations learned capture the mechanisms of action of drugs.",Yes :  data to reproduce the results can be downloaded from GitHub (https://github.com/ggonzalezp/hyperfoods).  All data were extracted from publicly available databases.,"Regression is the output by neural networks, i.e. a probability distribution for anticancer/non-anticancer categories), which is taken in input by SVM for a binary classification output.","Yes. Hyperparameter settings for every method are reported. For neural models, hyperparameter candidates can be found in Table 1, Characteristics of the neural network models architecture can be found in text.",
,"Sensitivity, specificity (ROC curves), ACA (Average Classwise Accuracy) and MCC (Matthews Correlation Coefficient).",TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,The two standard RBF SVM hyperparameters C and γ were determined by a grid search with a 10-fold cross-validation on the training dataset. ,0,,True,,b05d78bd-b870-43e2-8313-2c6e8cc7a91a,"Source of positive miRNAs: TarBase (Papadopoulos et al., 2009) and miRecords database (Xiao et al., 2009, Nucleic Acids Res., 37, D155–D158, Nucleic Acids Res., 37, D105–D110)  
A set of 289 miRNA transcript pairs (positive examples), and 289 negative examples were used as training dataset (total training data points npos + nneg =578).  
The positive data had been used previously in other papers. The negative data are novel, and have been identified by the Authors by means of a complex analysis. A subset of the negative examples has been validated experimentally.",2024-04-08T14:24:31.559Z,Not reported,,,,TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples,2024-04-08T14:24:31.559Z,SVM software is standard.  TargetMiner is available as an online tool at https://www.isical.ac.in/~bioinfo_miu/targetminer20.htm.     Executables are given .  Data files of test sets are available.,"Two SVM models were build, based on the 90 and 30 (top 30 F-score) features, respectively. The two SVM classifiers are referred to as TargetMiner* and TargetMiner.  The selection of the 30 top features was based on an F-score, which indicated the discriminating power of a given feature between positive and negative examples. The F-score was calculated based on the training set only.",Support Vector Machine (SVM). ,,0.95,"The SVM model with RBF kernel was generated by a 10-fold cross-validation on the training dataset.  The distribution of + and - in each data split is not mentioned, but it can be deduced to have been half and half.",Not reported,,,"The number of features was less than 100, but not small (30 or 90), compared to the number of training points (n = 578). ",19692556,,Bioinformatics,vqpw9fqmuu,6613fe1f1502715bfe53d929,"Bandyopadhyay S, Mitra R. ","Independent dataset, experimentally validated, composed of 246 miRNA–transcript pairs, of  which 187 were positive, 59 negative. ",,,,"Bandyopadhyay S, Mitra R. ",No confidence intervals are reported for any performance measure.,"Ten other methods (DIANA-microT, Micro Inspector, miRanda, MirTarget2, NBmiRTar, PicTar, PITA, RNA22, RNAhybrid, TargetScan) have been applied by the Authors to the same test data, reaching the conclusion that the better performance of their own method was probably due to the better negative training set they were able to individuate.",I could not find them.,10.1093/bioinformatics/btp503,"kmer for seed region, base pairing frequencies in the nearby regions.",2009,,The parameter C was standardly used to control the tradeoff between training error and margin. ,"SVM is generally considered black box. However, some ante hoc interpretability is manifested in the feature generation step, which was based on miRNA / 3'-UTR mRNA hybridization characteristics, such as seed length and identification, thermodynamic duplex stability, combinatorial effect of miRNAs and multiple target sites in the 3-UTRs of target mRNA, importance of miRNA’s outseed segment to determine the target specificity, analysis of evolutionary conserved target sites.  Post-hoc analysis of single features effectiveness was not performed.  Indeed, that is in agreement with the Author's statement, ""Since our objective in this article is to demonstrate the utility of systematically identifying the negative examples, we have kept the feature selection part simple. A more sophisticated approach is expected to improve the performance and will be considered in the future"".",Yes. Supporting Information.,Binary classification (target or non-target genes for miRNAs).,"TargetMiner is available as an online tool at https://www.isical.ac.in/~bioinfo_miu/targetminer20.htm.       The optimized parameter values for C and γ are given in text.  Both the 90 and 30 feature sets are explicitly reported in the Supplementary Materials, together with the identification numbers of the 578 data points.  ",
,"auROC, F1 score, mean-squared-error (MSE), R2, Spearman, correlation, and Point-Biserial correlation. For auROC, F1 score, and Point-Biserial correlation, positive examples were defined as the ones with a binding affinity stronger than 500 nM.",PineSAP--sequence alignment and SNP identification pipeline.,The model weights from the epoch with the lowest validation loss were selected.,0,,True,,3f2e8acd-75f4-4e37-b345-0b43034fdfd4,"Regression data

Class I MHC binding affinity data in IEDB
Broken link

Class II MHC binding affinity data in IEDB
Broken link

Benchmark dataset (used for comparison with other methods)
Curated class I MHC benchmark dataset (https://www.biorxiv.org/content/10.1101/154757v2 https://data.mendeley.com/datasets/jwhmrdx268/1)  
Training 176,985
Testing  26,888",2022-09-01T15:16:05.444Z,,,,,PineSAP--sequence alignment and SNP identification pipeline.,2022-09-01T15:16:05.444Z,,Number of initial features on the order of 1400 x 30,Ensemble of a deep Residual Convolutional Neural Networks.	,04/06/2022 03:38:12,0.81,"Class I MHC binding affinity data in IEDB
Only MHC alleles (114)  with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Class II MHC binding affinity data in IEDB
Only MHC alleles (55) with more than 100 examples were included to ensure the quality of training.   1/8 of the training set was held out as a validation set.	

Benchmark dataset (used for comparison with other methods)
51 class I MHC alleles are covered in this dataset.   ","Class I MHC binding affinity data in IEDB
For analyses on class I MHC-peptide binding, the IEDB-based dataset of Nielsen et al (2016) was used, in which 5 cross-validation folds were created to ensure no peptide shares a 9-mer sequence with any peptide in a different fold. 	

Class II MHC binding affinity data in IEDB
For analyses on class II MHC-peptide binding, the IEDB-based dataset of Jensen et al (2018) was used, in which 5 cross-validation folds were created in the same way as in Nielsen et al (2016).	

Benchmark dataset (used for comparison with other methods)
The dataset of Bhattacharya et al.(2017) was used, who constructed a benchmark in which no peptide in the test set has identical length and greater than 80% sequence identity to any peptide in the training Set.",04/06/2022 03:38:12,0,Possible redundancy in the sequences,19667082,,Bioinformatics,zl2x79pdqc,63516fedb9c880af1f305b5d,"Wegrzyn JL, Lee JM, Liechty J, Neale DB",Cross-validation on training set and independent set,,,,"Wegrzyn JL, Lee JM, Liechty J, Neale DB","Confidence intervals are not reported. As mentioned in the text, there were no significant performance differences among the different tested methods.","PUFFIN was compared to NetMHCpan, MHCflurry and MHCnuggets. Unlike those methods, PUFFIN provides uncertainty estimates for MHC-peptide affinity prediction. It is shown that PUFFIN’s uncertainty estimates are able to reflect the predictive error on unseen examples.",,10.1093/bioinformatics/btp477,"Each MHC allele was represented by a pseudo-sequence consisting of 34 amino acid residues in contact with the peptide.  All peptides sequences were padded on the right end to the same length, 30 for class I and 40 for class II, using a place-holder amino acid.     For each MHC- peptide pair, the MHC feature vector and the peptide feature matrix formed a final input matrix of size 1400 x 30 for class I MHC and 1400 x 40 for class II MHC. The difference between the peptide length L and the expected length L (9 for class I MHC and 15 for class II MHC) was encoded using a sigmoid function.",2009,,,Black box,"Class I MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCpan-3.0 (broken link)

Class II MHC binding affinity data in IEDB
https://cbs.dtu.dk/services.NetMHCIIpan-3.2 (broken link)

Benchmark dataset (used for comparison with other methods)
https://www.biorxiv.org/content/10.1101/154757v2  https://data.mendeley.com/datasets/jwhmrdx268/1
The authors obtained data in the class I MHC-peptide binding affinity benchmark from personal correspondence with Bhattacharya et al. and they have deposited this dataset in Mendeley Data. The accession number for this data is Mendeley Data:
https://doi.org/10.17632/jwhmrdx268.1
",Regression: The PUFFIN method takes as input a MHC-peptide pair and predicts a probabilistic distribution of peptide-MHC binding affinity. For Classification: positive examples were defined as the ones with a binding affinity stronger than 500 nM.,,
