title	shortid	mapped_pmcid	mapped_pmid	pdf_downloadable	supplementary_downloadable	supplementary_file_count	supplementary_file_list	processed_json_filename	actual_file_count	main_pdf_filename	is_folder_empty	folder_size_mb	flag_needs_processing
Machine learning approaches to supporting the identification of photoreceptor-enriched genes based on expression data.	6i0xepuivt	PMC1421439	16524483.0	yes	yes	4	PMC1421439_main.pdf; 1471-2105-7-116-S1.pdf; 1471-2105-7-116-S2.xls; 1471-2105-7-116.pdf	PMC1421439.json	2	PMC1421439_main.pdf	False	0.46	False
Learning biophysically-motivated parameters for alpha helix prediction	qx3ex71jye	PMC1892091	17570862.0	yes	yes	2	1471-2105-8-S5-S3.pdf; PMC1892091_main.pdf	PMC1892091.json	1	PMC1892091_main.pdf	False	0.35	False
Combining classifiers to predict gene function in Arabidopsis thaliana using large-scale gene expression measurements	ysqyy92zyr	PMC2213690	17888165.0	yes	yes	2	PMC2213690_main.pdf; 1471-2105-8-358.pdf	PMC2213690.json	1	PMC2213690_main.pdf	False	0.47	False
Predicting protein function by machine learning on amino acid sequences--a critical evaluation.	nlj5x3dld8	PMC1847686	17374164.0	yes	yes	3	1471-2164-8-78-S1.pdf; PMC1847686_main.pdf; 1471-2164-8-78.pdf	PMC1847686.json	2	PMC1847686_main.pdf	False	0.57	False
Combining classifiers for improved classification of proteins from sequence or structure	vwy8sti3pw	PMC2561051	18808707.0	yes	yes	2	1471-2105-9-389.pdf; PMC2561051_main.pdf	PMC2561051.json	2	PMC2561051_main.pdf	False	0.55	False
Gene function prediction using labeled and unlabeled data.	ali2ohlvnk	PMC2275242	18221567.0	yes	yes	5	1471-2105-9-57-S1.txt; 1471-2105-9-57-S2.txt; 1471-2105-9-57-S3.txt; PMC2275242_main.pdf; 1471-2105-9-57.pdf	PMC2275242.json	2	PMC2275242_main.pdf	False	1.07	False
Modeling peptide fragmentation with dynamic Bayesian networks for peptide identification.	5867a1dxop	PMC2665034	18586734.0	yes	yes	2	PMC2665034_main.pdf; btn189.pdf	PMC2665034.json	1	PMC2665034_main.pdf	False	0.91	False
Semi-automatic conversion of BioProp semantic annotation to PASBio annotation.	v536tc3b5t	PMC2638158	19091017.0	yes	yes	3	1471-2105-9-S12-S18-S1.pdf; PMC2638158_main.pdf; 1471-2105-9-S12-S18.pdf	PMC2638158.json	2	PMC2638158_main.pdf	False	0.45	False
TargetMiner: microRNA target prediction with systematic identification of tissue-specific negative examples	vqpw9fqmuu		19692556.0	no	no	0							False
PineSAP--sequence alignment and SNP identification pipeline.	zl2x79pdqc	PMC2752621	19667082.0	yes	yes	2	btp477.pdf; PMC2752621_main.pdf	PMC2752621.json	1	PMC2752621_main.pdf	False	0.07	False
Identification of novel DNA repair proteins via primary sequence, secondary structure, and homology.	2d714axh0n	PMC2660303	19154573.0	yes	yes	7	1471-2105-10-25-S2.pdf; 1471-2105-10-25-S1.pdf; 1471-2105-10-25-S4.xls; PMC2660303_main.pdf; 1471-2105-10-25-S6.pdf; 1471-2105-10-25.pdf; 1471-2105-10-25-S3.pdf	PMC2660303.json	6	PMC2660303_main.pdf	False	2.04	False
Selective inhibition of DNA replicase assembly by a non-natural nucleotide: exploiting the structural diversity of ATP-binding sites.	3p7aj2vzii	PMC3169429	19994907.0	yes	yes	1	PMC3169429_main.pdf	PMC3169429.json	1	PMC3169429_main.pdf	False	4.06	False
Computational prediction of type III secreted proteins from gram-negative bacteria.	hl7w8279ra	PMC3009519	20122221.0	yes	yes	2	1471-2105-11-S1-S47.pdf; PMC3009519_main.pdf	PMC3009519.json	1	PMC3009519_main.pdf	False	0.47	False
Linking the epigenome to the genome: correlation of different features to DNA methylation of CpG islands.	y6rde1aew5	PMC3340366	22558141.0	yes	yes	2	PMC3340366_main.pdf; pone.0035327.pdf	PMC3340366.json	1	PMC3340366_main.pdf	False	1.17	False
Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.	0zaakstjvr	PMC3292016	22408447.0	yes	yes	3	ijms-13-02196-s001.pdf; PMC3292016_main.pdf; ijms-13-02196.pdf	PMC3292016.json	2	PMC3292016_main.pdf	False	0.34	False
A CD4 T cell gene signature for early rheumatoid arthritis implicates interleukin 6-mediated STAT3 signalling, particularly in anti-citrullinated peptide antibody-negative disease.	p00ybazkxy	PMC3396452	22532634.0	yes	yes	2	annrheumdis-2011-200968.pdf; PMC3396452_main.pdf	PMC3396452.json	2	PMC3396452_main.pdf	False	0.58	False
NetiNeti: discovery of scientific names from text using machine learning methods.	ku9smf88dv	PMC3542245	22913485.0	yes	yes	2	PMC3542245_main.pdf; 1471-2105-13-211.pdf	PMC3542245.json	1	PMC3542245_main.pdf	False	0.77	False
The gradient boosting algorithm and random boosting for genome-assisted evaluation in large data sets.	9hqbg4dzys		23102953.0	no	no	0							False
DISOPRED3: precise disordered region predictions with annotated protein-binding activity	mg14nkwvpa	PMC4380029	25391399.0	yes	yes	4	PMC4380029_main.pdf; btu744.pdf; supp_btu744_supplementary_data.docx; supp_31_6_857__index.html	PMC4380029.json	1	PMC4380029_main.pdf	False	0.19	False
Machine Learning Techniques Accurately Classify Microbial Communities by Bacterial Vaginosis Characteristics	ats2zi61i5	PMC3912131	24498380.0	yes	yes	2	pone.0087830.pdf; PMC3912131_main.pdf	PMC3912131.json	1	PMC3912131_main.pdf	False	0.6	False
enDNA-Prot: identification of DNA-binding proteins by applying ensemble learning.	qto6tkwcli	PMC4058174	24977146.0	yes	yes	2	BMRI2014-294279.pdf; PMC4058174_main.pdf	PMC4058174.json	1	PMC4058174_main.pdf	False	0.69	False
