shortid	public	updated	created	score	uuid	_id	publication_updated	publication_title	publication_year	publication_journal	publication_created	publication_authors	publication_pmid	publication_done	publication_doi	publication_skip	publication_tags_0	publication_tags_1	publication_tags_2	publication_tags_3	publication_tags_4	matches_dataset/splits	matches_dataset/availability	matches_dataset/redundancy	matches_dataset/provenance	matches_optimization/algorithm	matches_optimization/encoding	matches_optimization/meta	matches_optimization/parameters	matches_optimization/regularization	matches_optimization/features	matches_optimization/config	matches_optimization/fitting	matches_model/duration	matches_model/output	matches_model/interpretability	matches_model/availability	matches_evaluation/confidence	matches_evaluation/comparison	matches_evaluation/availability	matches_evaluation/measure	matches_evaluation/method	mapped_pmcid	mapped_europepmc_id	mapped_pmid	pdf_downloadable	supplementary_downloadable	supplementary_file_count	supplementary_file_list	article_title	article_abstract
f4zymru581	True	2022-09-01T15:16:05.446Z	2022-09-01T15:16:05.446Z	0.62	868e7e5a-159e-47dc-9571-2700b8d3541b	63516fedb9c880af1f305bae	01/21/2022 17:00:14	Classification of pallidal oscillations with increasing parkinsonian severity.	2015	J Neurophysiol		Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD	25878156	0.0	10.1152/jn.00840.2014	0						"56 methylated (112 unmethylated) instances for leukocytes, 73
methylated (117 unmethylated) instances for HEK293, 44 methylated (142 unmethylated) instances for HEPG2, 43 methylated (142 unmethylated) instances for fibroblasts, and 32
methylated (137 unmethylated) instances for trisomic fibroblasts"	 http://www.cogsys.cs.uni-tuebingen.de/software/dna-methylation/.		not reportedME21 consortium, ENCODE consortium,  whole-genome catalogue of Dnot reported methylation in human, DOI: 10.1371/journal.pgen.1000438	decision trees, naive Bayes,  k-nearest neighbor, K*, random decision forest and support vector machines with Gaussian radial basis function and linear kernel					948 features from 15 categories but each training included a subset of them				binary classification	the algorithms were used in order to show the predictive performance of each feature and thus outline the correlation between features and classification	"http://www.cogsys.
 cs.uni-tuebingen.de/software/dna-methylation/."	To ensure a fair comparison, all analyses have been repeated ten times with a ten-fold cross-validation so the mean and standard deviation for each experiment are presented.	direct comparison is challenging since there are a lot of factors contributing in the final results. Some comparison is indeed presented from other publications.		"accuracy, Matthews correlation coefficient (MCC) and the area under the receiver operating
 characteristics curve (AUC), average absolute error (AAE)"	Cross-validation and independent dataset	PMC4507953	PMC4507953	25878156.0	no	no	0		Classification of pallidal oscillations with increasing parkinsonian severity.	The firing patterns of neurons in the basal ganglia are known to become more oscillatory and synchronized from healthy to parkinsonian conditions. Similar changes have been observed with local field potentials (LFPs). In this study, we used an unbiased machine learning approach to investigate the utility of pallidal LFPs for discriminating the stages of a progressive parkinsonian model. A feature selection algorithm was used to identify subsets of LFP features that provided the most discriminatory information for severity of parkinsonian motor signs. Prediction errors <20% were achievable using 28 of the possible 206 features tested. For all subjects, a spectral feature within the beta band was chosen through the feature selection algorithm, but a combination of features, including alpha-band power and phase-amplitude coupling, was necessary to achieve minimal prediction errors. There was large variability between the discriminatory features for individual subjects, and testing of classifiers between subjects yielded prediction errors >50%. These results suggest that pallidal oscillations can be predictive biomarkers of parkinsonian severity, but the features are more complex than spectral power in individual frequency bands, such as the beta band. Additionally, the best feature set was subject specific, which highlights the pathophysiological heterogeneity of parkinsonism and the importance of subject specificity when designing closed-loop system controllers dependent on such features.
74z8knxsmc	True	2022-09-01T15:16:05.446Z	2022-09-01T15:16:05.446Z	0.38	0f4944df-a1cc-4bf4-a6da-bb1ce13b71df	63516fedb9c880af1f305ba8	02/08/2022 15:10:18	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	2015	Comput Math Methods Med		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC	26495028	0.0	10.1155/2015/141363	0						Some details provided in Additional information	Yes, website URL		Dataset links provided in Table 1	TargetScan - non-ML algorithm			params provided in additional info						probability score	Black box							PMC4606520	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	"Killer-cell immunoglobulin-like receptors (KIRs) are membrane proteins expressed by cells of innate and adaptive immunity. The KIR system consists of 17 genes and 614 alleles arranged into different haplotypes. KIR genes modulate susceptibility to haematological malignancies, viral infections, and autoimmune diseases. Molecular epidemiology studies rely on traditional statistical methods to identify associations between KIR genes and disease. We have previously described our results by applying support vector machines to identify associations between KIR genes and disease. However, rules specifying which haplotypes are associated with greater susceptibility to malignancies are lacking. Here we present the results of our investigation into the rules governing haematological malignancy susceptibility. We have studied the different haplotypic combinations of 17 KIR genes in 300 healthy individuals and 43 patients with haematological malignancies (25 with leukaemia and 18 with lymphomas). We compare two machine learning algorithms against traditional statistical analysis and show that the ""a priori"" algorithm is capable of discovering patterns unrevealed by previous algorithms and statistical approaches."
r3o9d6vk1p	True	2022-09-01T15:16:05.445Z	2022-09-01T15:16:05.445Z	0.76	432f82cf-b140-411c-917b-b6c655b11e1f	63516fedb9c880af1f305b9f	03/08/2022 10:53:29	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	2015	Comput Math Methods Med		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC	26495028	0.0	10.1155/2015/141363	0						Data is peptide sequence and anti-microbial activity (binding affinity, IC50),  hence no pos and negative control,  first built a model to generate synthetic data and used 1000 of such data for training.		Synthetic data used	Data taken from Wade 2002 (101 data points), Ufkes 1982 (31 data points),  its quantitative continuous data - peptide sequence and anti-microbial activity (binding affinity, IC50), hence no positive negative, 	Novel, graph theory based approach to learn Generic String kernel (G	Sequence to binding affinities and IC50		position-specific weight matrix (PSWM)		Sequence (GS kernel), Synthetic data used.		not a binary classification problem, hence positive negative training data not used.		Predict a string of amino acids with antimicrobial properties.	Transparent, graph model	link given https://graal.ift.ulaval.ca/peptide-design/, but page not found	Correlation coefficient of 0.90 and 0.93 were reported for two different datasets used.	Pearson correlation of prediction with values in databases)	No, URL isn't working.	Pearson correlation coefficient ( correlation of prediction with values in databases)	kernel ridge regression with training used for validation. Also performed lab experiments.	PMC4606520	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	"Killer-cell immunoglobulin-like receptors (KIRs) are membrane proteins expressed by cells of innate and adaptive immunity. The KIR system consists of 17 genes and 614 alleles arranged into different haplotypes. KIR genes modulate susceptibility to haematological malignancies, viral infections, and autoimmune diseases. Molecular epidemiology studies rely on traditional statistical methods to identify associations between KIR genes and disease. We have previously described our results by applying support vector machines to identify associations between KIR genes and disease. However, rules specifying which haplotypes are associated with greater susceptibility to malignancies are lacking. Here we present the results of our investigation into the rules governing haematological malignancy susceptibility. We have studied the different haplotypic combinations of 17 KIR genes in 300 healthy individuals and 43 patients with haematological malignancies (25 with leukaemia and 18 with lymphomas). We compare two machine learning algorithms against traditional statistical analysis and show that the ""a priori"" algorithm is capable of discovering patterns unrevealed by previous algorithms and statistical approaches."
r7jsdtsoxh	True	2022-09-01T15:16:05.445Z	2022-09-01T15:16:05.445Z	0.62	cfb3eddf-4a2d-4640-9d9e-8650193f3286	63516fedb9c880af1f305b97	03/29/2022 21:41:26	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	2015	Comput Math Methods Med		Rodríguez-Escobedo JG, García-Sepúlveda CA, Cuevas-Tello JC	26495028	0.0	10.1155/2015/141363	0						148649 cells. 1/2 source and 1/2 target	https://bbbc.broadinstitute.org/ accession BBBC021			Deep Transfer Learning (type of Deep Neural Network)				leave-one-compound-out cross-validation (LOOCV)				500 min		Black box					Accuracy, confusion matrices		PMC4606520	PMC4606520	26495028.0	yes	yes	2	PMC4606520_main.pdf; CMMM2015-141363.pdf	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	"Killer-cell immunoglobulin-like receptors (KIRs) are membrane proteins expressed by cells of innate and adaptive immunity. The KIR system consists of 17 genes and 614 alleles arranged into different haplotypes. KIR genes modulate susceptibility to haematological malignancies, viral infections, and autoimmune diseases. Molecular epidemiology studies rely on traditional statistical methods to identify associations between KIR genes and disease. We have previously described our results by applying support vector machines to identify associations between KIR genes and disease. However, rules specifying which haplotypes are associated with greater susceptibility to malignancies are lacking. Here we present the results of our investigation into the rules governing haematological malignancy susceptibility. We have studied the different haplotypic combinations of 17 KIR genes in 300 healthy individuals and 43 patients with haematological malignancies (25 with leukaemia and 18 with lymphomas). We compare two machine learning algorithms against traditional statistical analysis and show that the ""a priori"" algorithm is capable of discovering patterns unrevealed by previous algorithms and statistical approaches."
duas5qkjag	True	2022-09-01T15:16:05.445Z	2022-09-01T15:16:05.445Z	0.81	c3dde50f-83db-4289-96ec-dbfdca27594b	63516fedb9c880af1f305b7e	01/24/2022 17:28:42	Classification of pallidal oscillations with increasing parkinsonian severity.	2015	J Neurophysiol		Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD	25878156	0.0	10.1152/jn.00840.2014	0						"Diffent conditions are considered: carbon sources (glucose, glycerol, gluconate, and lactate),  sodium concentrations (base and high), and magnesium concentrations (low, base, and high). Different splits are therefore adopted.
Splitting: training/validation set:test set=80:20. Training:validation=75:25 (x 10 independent runs).
Semi-random split preserving the ratios of different conditions between the training/validation and the test subsets. "	All processed data are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110)	No measure of independence provided	"Previous publication: 155 E. coli samples (102 have both mRnot reported and protein abundance data; 50 have only mRnot reported abundance data; 3 have only protein abundance data). 
External validation performed on 5 samples from a different publication."		level of transcripts/proteins expression		Kernel selected with a grid search and performance evaluation on the validation set		Number of transcripts/proteins in E.coli unspecified. Feature selection performed on training data with PCA: 10 features retained	All analysis scripts are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110)	f = 10, N_train ≈ 90 - Low dimensional SVM			Black box	Allanalysis scripts are available on GitHub: https://github.com/umutcaglar/ecoli_multiple_growth_conditions (permanent archived version available via zenodo: 10.5281/zenodo.1294110)	Distributions over the samples are reported, but no statistical evaluation is computed.	Different kernels are used. Random forests are used.		F1 score	Independent test set + externa test set	PMC4507953	PMC4507953	25878156.0	no	no	0		Classification of pallidal oscillations with increasing parkinsonian severity.	The firing patterns of neurons in the basal ganglia are known to become more oscillatory and synchronized from healthy to parkinsonian conditions. Similar changes have been observed with local field potentials (LFPs). In this study, we used an unbiased machine learning approach to investigate the utility of pallidal LFPs for discriminating the stages of a progressive parkinsonian model. A feature selection algorithm was used to identify subsets of LFP features that provided the most discriminatory information for severity of parkinsonian motor signs. Prediction errors <20% were achievable using 28 of the possible 206 features tested. For all subjects, a spectral feature within the beta band was chosen through the feature selection algorithm, but a combination of features, including alpha-band power and phase-amplitude coupling, was necessary to achieve minimal prediction errors. There was large variability between the discriminatory features for individual subjects, and testing of classifiers between subjects yielded prediction errors >50%. These results suggest that pallidal oscillations can be predictive biomarkers of parkinsonian severity, but the features are more complex than spectral power in individual frequency bands, such as the beta band. Additionally, the best feature set was subject specific, which highlights the pathophysiological heterogeneity of parkinsonism and the importance of subject specificity when designing closed-loop system controllers dependent on such features.
8ltvqe2m93	True	2022-09-01T15:16:05.444Z	2022-09-01T15:16:05.444Z	0.81	f04fcb26-53d5-4ac0-8458-c45183b92b0c	63516fedb9c880af1f305b68	03/08/2022 10:24:58	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	2017	Drug Discov Today		Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M	28624633	0.0	10.1016/j.drudis.2017.05.008	0						253 MAE genes and 1127 BAE genes		"In order to avoid excessive numbers of false
positive calls due to this imbalance, we trained the
models to optimize the metric Kappa rather than accuracy, as Kappa accounts for imbalanced number of genes
belonging to each class in training data"			processing of signals and the resulting values are converted to quantile rank.	authors recommend to choose the model with the highest F1-score	not clearly  stated		defaults classification labels lists or can be provided by the user					various methods to directly determine class of genes		qualitative description of the advantages of the presented pipeline			precision and recall	Cross-validation and independent dataset	PMC5650527	PMC5650527	28624633.0	yes	yes	1	PMC5650527_main.pdf	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	The therapeutic effects of drugs are well known to result from their interaction with multiple intracellular targets. Accordingly, the pharma industry is currently moving from a reductionist approach based on a 'one-target fixation' to a holistic multitarget approach. However, many drug discovery practices are still procedural abstractions resulting from the attempt to understand and address the action of biologically active compounds while preventing adverse effects. Here, we discuss how drug discovery can benefit from the principles of evolutionary biology and report two real-life case studies. We do so by focusing on the desirability principle, and its many features and applications, such as machine learning-based multicriteria virtual screening.
5a9ger6xi3	True	2022-09-01T15:16:05.444Z	2022-09-01T15:16:05.444Z	0.67	02cbd7a6-f8b7-425b-8d94-ec6d79a8aebc	63516fedb9c880af1f305b64	02/02/2022 10:08:47	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	2017	Drug Discov Today		Sánchez-Rodríguez A, Pérez-Castillo Y, Schürer SC, Nicolotti O, Mangiatordi GF, Borges F, Cordeiro MNDS, Tejera E, Medina-Franco JL, Cruz-Monteagudo M	28624633	0.0	10.1016/j.drudis.2017.05.008	0						genetic association with disease. Based on given score some  associations were considered positive.			Open Targets platform,  at least 1,000 Open Targets associations. 22 diseases were considered	Diffusion (propagation) methods, Purer ML-based methods and naive baseline methods	Associations were binarised								regression: ranking of genes in terms of their association scores to the disease	Black box		The rankings produced by the different algorithms were qualitatively compared using Spearman’s footrule	network topology, basic GBA approach		20 hits, AUPRC, AUROC		PMC5650527	PMC5650527	28624633.0	yes	yes	1	PMC5650527_main.pdf	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	The therapeutic effects of drugs are well known to result from their interaction with multiple intracellular targets. Accordingly, the pharma industry is currently moving from a reductionist approach based on a 'one-target fixation' to a holistic multitarget approach. However, many drug discovery practices are still procedural abstractions resulting from the attempt to understand and address the action of biologically active compounds while preventing adverse effects. Here, we discuss how drug discovery can benefit from the principles of evolutionary biology and report two real-life case studies. We do so by focusing on the desirability principle, and its many features and applications, such as machine learning-based multicriteria virtual screening.
toe45v1h7a	True	2024-05-06T09:29:27.218Z	2024-05-06T09:29:27.218Z	0.76	71898e53-9df0-464d-9e78-bb95274221ec	6638a2f7b30933003cc215b9		P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	2018	Journal of cheminformatics		Radoslav Krivák, David Hoksza	30109435		10.1186/s13321-018-0285-8	0						"2 data splits were utilized:
Training: CHEN11 dataset composed of 251 data points.
Optimization and validation: JOINED dataset composed of an overall  541 data points.
All the data points are positive examples of protein-ligand complexes."	"All the mentioned datasets are selected from previous studies and are publicly available.
Datasets are both mentioned through referencing to other studies and accessible through the URL: https://github.com/rdk/p2rank-datasets"	"Datasets for training and validation purposes are selected arbitrarily.
Testing dataset is not mentioned.
Only training set is mentioned to be non-redundant without explicit mention on the cutout identity percentage."	"Training:  CHEN11—a dataset of 251 proteins harboring 476 ligands introduced in LBS prediction benchmarking study.
Optimization and validation: JOINED—consists of structures from several smaller datasets used in previous studies (B48/U48, B210, DT198, ASTEX) joined into one larger dataset. you can find the details below:
B48/U48—Datasets that contain a set of 48 proteins in a bound and unbound state.
B210—a benchmarking dataset of 210 proteins in bound state.
DT198—a dataset of 198 drug-target complexes.
ASTEX—Astex Diverse set is a collection of 85 proteins that was introduced as a benchmarking dataset for molecular docking methods."	"The used algorithm is a Random Forest Regression model.
The model is not novel."	The model takes vectors of 35 numerical features as input.	The algorithm is not a meta-predictor.	"Beside the hyper-parameters of Random Forest, the algorithm uses other parameters and ""cut-of's"", thresholds"", ""protrusion radius"", are explicitly mentioned.
It is mentioned that only hyper-parameters are optimized on a separate dataset from training set.
The method of optimization is not mentioned."	A validation set was used to optimize the parameters before training on the training set.	"Every vector is composed of 35 numerical features.
No mention on feature selection."	URL: https://github.com/rdk/p2rank. Licence: MIT	The clear number of parameters is not mentioned. No assessment on over/under fitting was mentioned.	It is mentioned that it requires under 1 s for prediction on one protein.	It is a regression model outputting numbers between 0 and 1.	The model has 200 trees, each grown with no depth limit using 6 features, this makes it challenging to interpret due to the sheer number of trees and their depth. However, it is still possible to obtain feature importance scores.	The software and the source code is publicly available through the provided link to the GitHub repository of the software. It is a stand-alone executable software, they currently have a web server, but at the time of publication the web server was under development. URL: https://github.com/rdk/p2rank. Licence: MIT						PMC6091426	PMC6091426	30109435.0	yes	yes	3	13321_2018_285_MOESM1_ESM.pdf; 13321_2018_Article_285.pdf; PMC6091426_main.pdf	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure.	<h4>Background</h4>Ligand binding site prediction from protein structure has many applications related to elucidation of protein function and structure based drug discovery. It often represents only one step of many in complex computational drug design efforts. Although many methods have been published to date, only few of them are suitable for use in automated pipelines or for processing large datasets. These use cases require stability and speed, which disqualifies many of the recently introduced tools that are either template based or available only as web servers.<h4>Results</h4>We present P2Rank, a stand-alone template-free tool for prediction of ligand binding sites based on machine learning. It is based on prediction of ligandability of local chemical neighbourhoods that are centered on points placed on the solvent accessible surface of a protein. We show that P2Rank outperforms several existing tools, which include two widely used stand-alone tools (Fpocket, SiteHound), a comprehensive consensus based tool (MetaPocket 2.0), and a recent deep learning based method (DeepSite). P2Rank belongs to the fastest available tools (requires under 1 s for prediction on one protein), with additional advantage of multi-threaded implementation.<h4>Conclusions</h4>P2Rank is a new open source software package for ligand binding site prediction from protein structure. It is available as a user-friendly stand-alone command line program and a Java library. P2Rank has a lightweight installation and does not depend on other bioinformatics tools or large structural or sequence databases. Thanks to its speed and ability to make fully automated predictions, it is particularly well suited for processing large datasets or as a component of scalable structural bioinformatics pipelines.
iblymem5cf	True	2024-03-06T10:35:57.616Z	2024-03-06T10:22:44.950Z	0.96	9bd31f10-4479-4940-810c-3e6a4bcfb1e3	65e843f41502715bfe53cd1e		P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	2018	Journal of cheminformatics		Radoslav Krivák, David Hoksza	30109435	6.0	10.1186/s13321-018-0285-8	0						"2 data splits were utilized:
Training: CHEN11 dataset composed of 251 data points.
Optimization and validation: JOINED dataset composed of an overall  541 data points.
All the data points are positive examples of protein-ligand complexes."	"All the mentioned datasets are selected from previous studies and are publicly available.
Datasets are both mentioned through referencing to other studies and accessible through the URL: https://github.com/rdk/p2rank-datasets"	"Datasets for training and validation purposes are selected arbitrarily.
Testing dataset is not mentioned.
Only training set is mentioned to be non-redundant without explicit mention on the cutout identity percentage."	"Training: CHEN11—a dataset of 251 proteins harboring 476 ligands introduced in LBS prediction benchmarking study.

Optimization and validation: JOINED—consists of structures from several smaller datasets used in previous studies (B48/U48, B210, DT198, ASTEX) joined into one larger dataset. you can find the details below:
B48/U48—Datasets that contain a set of 48 proteins in a bound and unbound state.
B210—a benchmarking dataset of 210 proteins in bound state.
DT198—a dataset of 198 drug-target complexes.
ASTEX—Astex Diverse set is a collection of 85 proteins that was introduced as a benchmarking dataset for molecular docking methods."	"The used algorithm is a Random Forest Regression model.
The model is not novel."	The model takes vectors of 35 numerical features as input.	The algorithm is not a meta-predictor.	"Beside the hyper-parameters of Random Forest, the algorithm uses other parameters and ""cut-of's"", ""thresholds"", ""protrusion radius"", are explicitly mentioned.
It is mentioned that only hyper-parameters are optimized on a separate dataset from training set.
The method of optimization is not mentioned."	A validation set was used to optimize the parameters before training on the training set.	"Every vector is composed of 35 numerical features.
No mention on feature selection."	The model is accessible through the URL of the GitHub repository.	"The clear number of parameters is not mentioned.
No assessment on over/under fitting was mentioned."	It is mentioned that it requires under 1 s for prediction on one protein.	It is a regression model outputting numbers between 0 and 1.	"The model has 200 trees, each grown with no depth limit using 6 features, this makes it challenging to interpret due to the sheer number of trees and their depth.
However, it is still possible to obtain feature importance scores."	"The software and the source code is publicly available through the provided link to the GitHub repository of the software.
It is a stand-alone executable software, they currently have a web server, but at the time of publication the web server was under development.
URL: https://github.com/rdk/p2rank
Licence: MIT "	"The confidence intervals are only reported for ""Average prediction time per protein"".
While the method is reported to perform best in the first 2 mentioned metrics, which is not the case in terms of prediction time, the difference is not substantial."	The method was compared to other publicly available methods in the 3 mentioned metrics.		"Instead of the conventional performance metrics, 3 reported metrics are as follows:
1. Identification success rate [%] measured by DCCcriterion (distance from pocket center to closest ligand atom) with 4 Å threshold.
2. Average total number of binding sites predicted per protein by on a given dataset.
3. Average time required for prediction on a single protein."	The model was evaluated on two independent datasets. Disjunct with data points present in training and validation set.	PMC6091426	PMC6091426	30109435.0	yes	yes	3	13321_2018_285_MOESM1_ESM.pdf; 13321_2018_Article_285.pdf; PMC6091426_main.pdf	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure.	<h4>Background</h4>Ligand binding site prediction from protein structure has many applications related to elucidation of protein function and structure based drug discovery. It often represents only one step of many in complex computational drug design efforts. Although many methods have been published to date, only few of them are suitable for use in automated pipelines or for processing large datasets. These use cases require stability and speed, which disqualifies many of the recently introduced tools that are either template based or available only as web servers.<h4>Results</h4>We present P2Rank, a stand-alone template-free tool for prediction of ligand binding sites based on machine learning. It is based on prediction of ligandability of local chemical neighbourhoods that are centered on points placed on the solvent accessible surface of a protein. We show that P2Rank outperforms several existing tools, which include two widely used stand-alone tools (Fpocket, SiteHound), a comprehensive consensus based tool (MetaPocket 2.0), and a recent deep learning based method (DeepSite). P2Rank belongs to the fastest available tools (requires under 1 s for prediction on one protein), with additional advantage of multi-threaded implementation.<h4>Conclusions</h4>P2Rank is a new open source software package for ligand binding site prediction from protein structure. It is available as a user-friendly stand-alone command line program and a Java library. P2Rank has a lightweight installation and does not depend on other bioinformatics tools or large structural or sequence databases. Thanks to its speed and ability to make fully automated predictions, it is particularly well suited for processing large datasets or as a component of scalable structural bioinformatics pipelines.
od7rdaz7w7	True	2022-09-01T15:16:05.443Z	2022-09-01T15:16:05.443Z	0.86	2ab96eb2-c809-4f94-9729-9573ca70ad20	63516fedb9c880af1f305b46	03/22/2022 13:13:16	Prediction of plant lncRNA by ensemble machine learning classifiers.	2018	BMC Genomics		Simopoulos CMA, Weretilnyk EA, Golding GB	29720103	0.0	10.1186/s12864-018-4665-2	0						64 diverse compounds (20.3%) were selected for the test set, leaving 252 compounds in the training set		The updated SweetenersDB was split in training and test sets using a Sphere Exclusion clustering algorithm. 	"316 sweet compounds from SweetenersDB dataset.
https://doi.org/10.1016/j.foodchem.2016.10.145"	Random Forest, Support Vector Machine (SVM), Adaptative Boosting with a Decision Tree base estimator (AdaBoost Tree), and k-Nearest Neighbors. AdaBoost Tree was selected	Every compound in the datasets were collected as SMILES strings and sanitized with RDKit. The resulting datasets consisted of 635 descriptors for the Dragon dataset, and 506 features for the “open-source” dataset. 			Structures were standardized using the “standardizer” from Python.	"Five-fold cross validation was performed with hyperparameter tuning using a grid search.  The optimal percentile of features was tuned as a parameter of the Grid Search.
32 descriptors for the “Dragon” model, and 51descriptors for the “open source” model"		To avoid any model bias due to overfitting, the number of features used by the model is a hyperparameter that has been optimized.		regression to predict the logSw (relative sweetness)	direct correlation between compound and sweetness		statistical metrics	"e-Sweet platform (Zheng et al., 2019) is based on a consensus model of various
 machine learning protocols. The performance of BitterSweet is comparable to
 e-Sweet and Predisweet (R2 of 0.72 on our test set) but the protocol is still unpublished, and seven molecules of the test set has not been
 considered as sweet."		"predictive performance was evaluated based on criteria previously defined by: https://doi.org/10.1016/S1093-3263(01)00123-1.
 correlation coefficient, coefficient of determination, slopes of the regression lines through the origin for the observed vs. predicted and predicted vs. observed values respectively, corresponding coefficients of determination, root mean squared error, mean absolute error"	independent dataset	PMC5930664	PMC5930664	29720103.0	yes	yes	5	12864_2018_Article_4665.pdf; 12864_2018_4665_MOESM4_ESM.pdf; PMC5930664_main.pdf; 12864_2018_4665_MOESM3_ESM.pdf; 12864_2018_4665_MOESM2_ESM.txt	Prediction of plant lncRNA by ensemble machine learning classifiers.	<h4>Background</h4>In plants, long non-protein coding RNAs are believed to have essential roles in development and stress responses. However, relative to advances on discerning biological roles for long non-protein coding RNAs in animal systems, this RNA class in plants is largely understudied. With comparatively few validated plant long non-coding RNAs, research on this potentially critical class of RNA is hindered by a lack of appropriate prediction tools and databases. Supervised learning models trained on data sets of mostly non-validated, non-coding transcripts have been previously used to identify this enigmatic RNA class with applications largely focused on animal systems. Our approach uses a training set comprised only of empirically validated long non-protein coding RNAs from plant, animal, and viral sources to predict and rank candidate long non-protein coding gene products for future functional validation.<h4>Results</h4>Individual stochastic gradient boosting and random forest classifiers trained on only empirically validated long non-protein coding RNAs were constructed. In order to use the strengths of multiple classifiers, we combined multiple models into a single stacking meta-learner. This ensemble approach benefits from the diversity of several learners to effectively identify putative plant long non-coding RNAs from transcript sequence features. When the predicted genes identified by the ensemble classifier were compared to those listed in GreeNC, an established plant long non-coding RNA database, overlap for predicted genes from Arabidopsis thaliana, Oryza sativa and Eutrema salsugineum ranged from 51 to 83% with the highest agreement in Eutrema salsugineum. Most of the highest ranking predictions from Arabidopsis thaliana were annotated as potential natural antisense genes, pseudogenes, transposable elements, or simply computationally predicted hypothetical protein. Due to the nature of this tool, the model can be updated as new long non-protein coding transcripts are identified and functionally verified.<h4>Conclusions</h4>This ensemble classifier is an accurate tool that can be used to rank long non-protein coding RNA predictions for use in conjunction with gene expression studies. Selection of plant transcripts with a high potential for regulatory roles as long non-protein coding RNAs will advance research in the elucidation of long non-protein coding RNA function.
