publication/pmid	epmc_pmcid	epmc_journal	epmc_year
33465072	PMC7845959	PLoS computational biology	2021
33679869	PMC7933593	Frontiers in genetics	2020
34419924	PMC8385175	EBioMedicine	2021
34112769	PMC8192578	Nature communications	2021
32915751	PMC8545175	IEEE journal of biomedical and health informatics	2020
30853547	PMC6708480	Methods (San Diego, Calif.)	2019
30590545		The Journal of antimicrobial chemotherapy	2019
31404081	PMC6690680	PloS one	2019
30483279	PMC6242780	Frontiers in plant science	2018
29133589	PMC5821274	Molecular cancer research : MCR	2018
26495028	PMC4606520	Computational and mathematical methods in medicine	2015
33464298	PMC7816647	The Journal of cell biology	2021
29720103	PMC5930664	BMC genomics	2018
17374164	PMC1847686	BMC genomics	2007
26834994	PMC4706063	F1000Research	2015
18779814	PMC2701298	Nature biotechnology	2008
33328863	PMC7734183	Frontiers in neuroscience	2020
32220894	PMC7297119	RNA (New York, N.Y.)	2020
30615300	PMC9328381	Arthritis & rheumatology (Hoboken, N.J.)	2019
34603483	PMC8485143	Computational and mathematical methods in medicine	2021
31161221	PMC7073919	Journal of the National Cancer Institute	2020
31462106	PMC6902683	FASEB journal : official publication of the Federation of American Societies for Experimental Biology	2019
19667082	PMC2752621	Bioinformatics (Oxford, England)	2009
34297718	PMC8336795	PLoS computational biology	2021
34168145	PMC8225676	Nature communications	2021
33995917	PMC8093828	Computational and structural biotechnology journal	2021
33953203	PMC8100172	Nature communications	2021
33169030		Nature neuroscience	2021
33425719	PMC7794018	Frontiers in oncology	2020
30877925	PMC6548586	Multiple sclerosis and related disorders	2019
29219069	PMC5773889	BMC bioinformatics	2017
33354569	PMC7735824	BioMed research international	2020
32753502	PMC7406221	mSystems	2020
30970017	PMC6457539	PLoS computational biology	2019
32858131	PMC7446623	Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association	2020
28881974	PMC5870574	Bioinformatics (Oxford, England)	2017
26746583		Journal of biomolecular screening	2016
27222432	PMC4894951	Nature communications	2016
33181068	PMC7707106	Cell	2020
34388102	PMC8843059	IEEE journal of biomedical and health informatics	2021
33810341	PMC8067080	Biomolecules	2021
32991297		IEEE journal of biomedical and health informatics	2021
34573923	PMC8469072	Diagnostics (Basel, Switzerland)	2021
32905495	PMC7473040	Current opinion in systems biology	2020
33329703	PMC7721480	Frontiers in genetics	2020
32324731	PMC7237030	PLoS computational biology	2020
31466478		Epigenomics	2019
31534955	PMC6732622	BioMed research international	2019
31407406	PMC6851483	Proteins	2019
30933970	PMC6459551	PLoS computational biology	2019
31120879	PMC6532836	PLoS computational biology	2019
29614729	PMC5923460	Viruses	2018
30388122	PMC6214495	PloS one	2018
28854371		Cell reports	2017
27488918	PMC5034704	The Journal of pharmacology and experimental therapeutics	2016
26101544	PMC4460208	Computational and mathematical methods in medicine	2015
20007729		Briefings in bioinformatics	2010
20122221	PMC3009519	BMC bioinformatics	2010
28600868	PMC5656045	Human mutation	2017
34070374	PMC8230313	Metabolites	2021
27832081	PMC5104375	PLoS computational biology	2016
19154573	PMC2660303	BMC bioinformatics	2009
25783485	PMC4315323	BMC medical genomics	2015
33324147	PMC7725002	Frontiers in neuroscience	2020
32218835	PMC7068237	Oncology letters	2020
25646976	PMC4315436	PLoS computational biology	2015
29849042	PMC5976622	Nature communications	2018
33039708	PMC7648120	EBioMedicine	2020
31058230	PMC6495231	mSystems	2019
19091017	PMC2638158	BMC bioinformatics	2008
29263361	PMC5738356	Nature communications	2017
32620137	PMC7333383	Genome biology	2020
24348896	PMC3864407	PloS one	2013
18586734	PMC2665034	Bioinformatics (Oxford, England)	2008
18834494	PMC2559987	Genome biology	2008
26957000		Journal of biomolecular structure & dynamics	2017
31132080	PMC6657583	Toxicological sciences : an official journal of the Society of Toxicology	2019
31058383	PMC6832773	Glia	2020
30448611	PMC6478501	Neurobiology of aging	2019
34345532	PMC8288037	Oncoimmunology	2021
25878156	PMC4507953	Journal of neurophysiology	2015
26541179		Epigenomics	2015
31871774	PMC6908647	Signal transduction and targeted therapy	2019
29790392	PMC6172579	American journal of physiology. Renal physiology	2018
32826857	PMC7442807	Translational psychiatry	2020
22913485	PMC3542245	BMC bioinformatics	2012
28065610	PMC5821114	Current biology : CB	2017
33510068	PMC8328792	Neural regeneration research	2021
33126877	PMC7596958	BMC medical genomics	2020
31874628	PMC6929456	BMC genomics	2019
27855170	PMC5113897	PloS one	2016
33133228	PMC7591939	Computational and mathematical methods in medicine	2020
27191382	PMC4931851	Aging	2016
34093642	PMC8175075	Frontiers in genetics	2021
32300371	PMC7142336	Computational and mathematical methods in medicine	2020
24675637	PMC3967921	PLoS computational biology	2014
28807860	PMC5610945	Journal of neuroscience methods	2017
31856830	PMC6923882	BMC medical genomics	2019
23102953		Journal of dairy science	2013
30857591	PMC6436896	eLife	2019
28747397	PMC5550971	Journal of the Royal Society, Interface	2017
30769139		Gene	2019
26422234	PMC4589233	PloS one	2015
33535965	PMC7860026	BMC genomics	2021
32878308	PMC7569858	Metabolites	2020
30950198	PMC6737184	Plant biotechnology journal	2019
31308377	PMC6629660	Nature communications	2019
30794638	PMC6386402	PloS one	2019
32545899	PMC7352871	International journal of molecular sciences	2020
33005419	PMC7520974	Biomarker research	2020
32915321	PMC7497297	Metabolomics : Official journal of the Metabolomic Society	2020
32002757	PMC7598837	Digestive diseases and sciences	2020
31849986	PMC6896948	Frontiers in immunology	2019
22532634	PMC3396452	Annals of the rheumatic diseases	2012
34034523	PMC8150043	Proceedings. Biological sciences	2021
31857725	PMC7054390	British journal of cancer	2020
32606311	PMC7327047	Nature communications	2020
25823003	PMC4378968	PloS one	2015
28332994	PMC5377911	International journal of radiation oncology, biology, physics	2017
33583184		Chemical research in toxicology	2021
32711252	PMC7387776	EBioMedicine	2020
28696170		Phytopathology	2017
25175491		International journal of cancer	2015
30822279	PMC6428110	Aging	2019
