shortid	original_title	repaired_title	similarity_score
8ltvqe2m93	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	MaGIC: a machine learning tool set and web application for monoallelic gene inference from chromatin.	0.1005586592178771
mhyzrdvtd1	Interplay between oxidative damage, the redox status, and metabolic biomarkers during long-term fasting.	Performance of case-control rare copy number variation annotation in classification of autism.	0.13131313131313133
2so9xiaxer	Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.	A modeling and machine learning approach to ECG feature engineering for the detection of ischemia using pseudo-ECG.	0.1350210970464135
25pxfm641i	Seagull: lasso, group lasso and sparse-group lasso regularization for linear regression models via proximal gradient descent.	A Method for Identifying Vesicle Transport Proteins Based on LibSVM and MRMD.	0.13861386138613863
m8bml54z62	Accurate contact predictions using covariation techniques and machine learning.	Machine learning models for early sepsis recognition in the neonatal intensive care unit using readily available electronic health record data.	0.15315315315315314
imwu5xtkc9	Benchmarking network propagation methods for disease gene identification.	Identification of lung cancer gene markers through kernel maximum mean discrepancy and information entropy.	0.16666666666666666
ck60ijuxvo	Delineating Regions-of-interest for Mass Spectrometry Imaging by Multimodally Corroborated Spatial Segmentation	Prediction of plant lncRNA by ensemble machine learning classifiers.	0.16759776536312848
65taxw9gs8	Identification of Circulating Diagnostic Biomarkers for Coronary Microvascular Disease in Postmenopausal Women Using Machine-Learning Techniques.	Machine learning for effectively avoiding overfitting is a crucial strategy for the genetic prediction of polygenic psychiatric phenotypes.	0.16901408450704225
7rqpjvvf0w	Brain age from the electroencephalogram of sleep.	Multiplex Networks to Characterize Seizure Development in Traumatic Brain Injury Patients.	0.17266187050359713
1nvj60arng	Machine learning reveals mesenchymal breast carcinoma cell adaptation in response to matrix stiffness.	Regression plane concept for analysing continuous cellular processes with machine learning.	0.17616580310880828
47cb9iahma	Comparison of Targeted and Untargeted Approaches in Breath Analysis for the Discrimination of Lung Cancer from Benign Pulmonary Diseases and Healthy Persons.	From flamingo dance to (desirable) drug discovery: a nature-inspired approach.	0.17872340425531916
kottgt7uak	Identifying the minimum amplicon sequence depth to adequately predict classes in eDNA-based marine biomonitoring using supervised machine learning.	Using support vector machine and evolutionary profiles to predict antifreeze protein sequences.	0.18181818181818182
acyudepk6j	A boosting approach for prediction of protein-RNA binding residues.	Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.	0.1827956989247312
iugmhjifoe	Identifying mutation positions in all segments of influenza genome enables better differentiation between pandemic and seasonal strains.	BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.	0.18410041841004185
