Review_Reason	bs_completeness	update	publication/title	publication/doi	_id/$oid	dataset/availability	dataset/provenance	dataset/redundancy	dataset/splits	dataset/done	dataset/skip	evaluation/availability	evaluation/comparison	evaluation/confidence	evaluation/measure	evaluation/method	evaluation/done	evaluation/skip	model/availability	model/duration	model/interpretability	model/output	model/done	model/skip	optimization/algorithm	optimization/config	optimization/encoding	optimization/features	optimization/fitting	optimization/meta	optimization/parameters	optimization/regularization	optimization/done	optimization/skip	user/$oid	publication/pmid	publication/pmcid	publication/updated	publication/authors	publication/journal	publication/year	publication/done	publication/skip	publication/tags	public	created/$date	updated/$date	uuid	reviewState	shortid
DOI_MATCH 	45		A Novel Dataset for Nuclei and Tissue Segmentation in Melanoma with baseline nuclei segmentation and tissue segmentation benchmarks	000	678fa69f5a9877fd97a7d5dc	The training dataset is available on zenodo (https://zenodo.org/records/10940194) with a CC-BY 4.0 licence. 	"The dataset consists of 155 primary and 155 metastatic melanoma manually selected ROIs, scanned at 40× magnification (0.22 µm/px) with a size of 1024 × 1024 pixels. For these ROIs, annotations of both tissue and nuclei are supplied, as well as a context ROI of 5120 × 5120 pixels centered around the ROI. Annotations were created by a medical expert and checked and corrected by a dermatopathologist.  All cases were digitized in a large melanoma referral center, however 76 cases are revisions or consultations originating from other treatment hospitals. Annotations are in the .GeoJSON format, making annotations easily visualizable with the opensource pathology image viewer Qupath. 

The following nuclei categories were used:  tumor, stroma, vascular endothelium, histiocyte, melanophage, lymphocyte, plasma cell, neutrophil, apoptotic and epithelium and the following tissue categories were used: tumor, stroma, epidermis, necrosis, blood vessel, and background. A total of 147 739 nuclei are manually annotated. "	The sets were split randomly. As each sample is a histological specimen from a different patient the training and test dataset are independent. 	"The PUMA dataset contains 103 primary melanoma ROIs and 103 metastatic melanoma ROIs in the training set, with a total of 97,429 nuclei. 
The test set includes 52 primary melanoma ROIs and 52 metastatic melanoma ROIs, comprising 50,490 nuclei. 

In the manuscript the distribution of metastatic sites, nuclei and tissue annotations is plotted in the data description paragraph. "	4.0	0.0	https://github.com/tueimage/PUMA-challenge-eval-track1, https://github.com/tueimage/PUMA-challenge-eval-track2	"Yes, a comparison with publicly available methods has been performed (NN192, Hover-Net and Hover-NeXt trained on the PanNuke dataset). 
No publicly available method exists able at segmenting skin tissue on H&E stained histopathology images. "	The results are bootstrapped for generation of confidence intervals. This is not performed in the final public evaluation code for the PUMA challenge due to reducing computational burden. The difference in performance between the used models is statistically significant. 	"For the calculation of the F1 score, the center distance between the predicted nuclei and the ground truth nuclei was used. For each ground truth nucleus, predictions within a 15 pixel (3.3 μm) were identified. This radius is smaller than the average size of lymphocytes, which form the smallest nuclei in the dataset. Matching was performed based on the highest predictive score (if available) or the shortest distance. After matching, the ground truth was censored until all ground truth nuclei were either matched or classified as a false negative. Using the identified true positives, false positives, and false negatives, precision (all correct predictions divided by all predictions) and recall (all correct predictions divided by all ground truth nuclei) were calculated. The class F1 score was computed as the harmonic mean of precision and recall, ranging from 0 to 1. Finally to compare models, micro F1  (aggregation of TP, FP, and FN over all classes, followed by F1 score calculation) and Average F1  (the average of class F1 scores) were calculated [40]. Results are shown with a 95% confidence interval which is calculated through bootstrapping the samples. 

Both models and intra- and interobserver agreement were evaluated using the DICE score. The DICE score is a harmonic mean between 0 and 1, in which 1 is a perfect segmentation prediction, and 0 is no correct prediction. This can result in inflated high average DICE scores if a tissue class is only present in a few samples, as the DICE score is 1 in the case of a correct absent prediction. To accommodate this, we calculated not only the average DICE score over all samples but also the micro average DICE. This is the DICE score for all predictions concatenated along one axis, resulting in a prediction mask of 1024 × 96.256 pixels. Results are shown with a 95% confidence interval which is generated through bootstrapping the sample results. 

Metrics are in line with literature (Maier-Hein, L., Reinke, A., Godau, P. et al. Metrics reloaded: recommendations for image analysis validation. Nat Methods 21, 195–212 (2024). https://doi.org/10.1038/s41592-023-02151-z) "	Independent dataset	5.0	0.0	https://github.com/tueimage/PUMA-challenge-baseline-track1, https://github.com/tueimage/PUMA-challenge-baseline-track2	Less than 30 seconds	The model outputs segmentation annotations, which are fully interpretable by pathologists. 	Segmentation	4.0	0.0	"In this study, two algorithm classes are used. The first class consists of models for nuclei instance segmentation, while the second class includes semantic segmentation models for medical image analysis. The nuclei instance segmentation algorithms offer advantages over classic models due to post-processing techniques like watershed segmentation, which help separate densely packed nuclei. Additionally, these algorithms can be applied to whole slide images instead of tiles. 

For tissue annotation semantic segmentation, two models were used. The first is nnU-Net, which is designed for supervised medical image segmentation. The second is Mask2Former2, a transformer segmentation algorithm which can be used for supervised semantic segmentation. For this experiment the backbone was replaced by a foundation model that is better able at feature extraction from histopathology images.


"	The original training code of the models used was not adjusted. Weights for the baseline solution of the PUMA challenge are supplied on Zenodo (https://zenodo.org/records/13881999). 	Annotations are supplied in the .geoJSON format. For training of Hover-Net and Hover-Next the .geoJSON and .TIFF images were recoded to numpy array masks. For tissue segmentation the .geoJSON were encoded to .PNG masks. 	No explicit feature selection was performed. The models used the raw input from the images without reducing or selecting specific features. Therefore, the entire dataset, including both tissue and nuclei information, was used for training without separate feature selection steps.	In this study, due to the use of different models, it’s hard to directly compare p (parameters) and f (input features) with the number of training points. The models were used to establish a baseline without detailed tuning. Overfitting was countered by 5-fold cross-validation and the use of an independent test set, though specific model-related techniques were not addressed.	No	The models in this research used default configurations for the number of parameters. The goal was to establish a baseline for the dataset, providing a reference point for the PUMA challenge. The community is then invited to improve upon these baseline models in future work. No manual tuning or selection of the number of parameters (p) was performed.	To decrease the risk of overfitting we used data-augmentation and 5-fold cross validation to define a training and validation set in the original training set. We took the mean of these models on the independent test set. 	7.0	1.0	678fa631edf7b65039c6cf91	-			Mark Schuiveling, Hong Liu, Daniel Eek,  Gerben E. Breimer,  Karijn P.M. Suijkerbuijk, Willeke A.M. Blokx,  Mitko Veta	GigaScience	2024	0.0	6.0		1.0	2025-01-21T13:52:31.149Z	2025-01-31T11:18:02.800Z	59a6767b-171a-443e-933d-91ad24c967f7	undenfined	45xadyd7wx
TITLE_MATCH DOI_MATCH 	44		Assessing infant risk of cerebral palsy with video-based motion tracking	https://doi.org/10.1101/2024.11.06.24316844	6786955b69b4c4f2642362e8	Pre-processed data has been made available on the OSF pre-registration site: https://osf.io/gztmd/	"Data were collected as part of standard clinical care by team members of the CHOP site of the US CP Early Detection and Intervention Network in a REDcap database between May 2019 and December 2023. This included the secure uploading of iPad- or iPhone-recorded videos, General Movement Assessments (GMA) scores and demographic information.  Exclusions were applied to intubated patients, those under the influence of sedation medications, within a week post-operative, on ECMO support, or diagnosed with myelomeningocele. For all infants who were between 10-20 weeks post-term age (corrected for preterm birth, if applicable) at the time of a clinic visit, and whose parents or legal guardians agreed to video recording for clinical care, clinicians captured a 1-2 minute video of the infant lying in supine.  

Data classes were defined according to the GMA scores: 
1 - Fidgety (Nneg = 820) 
2 - Absent Fidgety (Npos = 108) 
3 - Atypical Fidgety (excluded = 3) 

The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. 

"	"The true holdout set (n = 187) was randomly sampled from the dataset, stratified by GMA score, prior to any algorithm development, and pre-registered on OSF. 

"	The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. The remaining 931 videos were split into an analysis set (744) and a lock box holdout set (187) (Figure 1.). The analysis set was further split into train/val/test sets (558, 93, 93), each of which had a 12% representation of the “absent fidgety” movement type. The splits were stratified to preserve the ratios of boy/girl infants, as well as age, and race/ethnicity. There was a total recording duration of 60-120 s per infant.	4.0	0.0	All model outputs and CV scores are available. 	No other publicly available methods or datasets are available. In searching the model space, AutoML already tests simple baselines to ensure they do not out-perform the selected model. 	Performance metrics are reported with associated cross-validation scores. The goal of the paper was not the claim that the result is superior to that of others, but rather to show that the result persists even when applying strict rigorous ML approaches. 	Two standard measures are report: AUC-ROC which is a standard measure used in the machine learning community, and Preicision-Recall (PR)-AUC, which is more interpretable within the medical literature as it relates to the sensitivity/specificity measures that are widely used. 	Two evaluation strategies were used. First, 10 times 5-folds cross validation were performed on the train/test data to ensure that model performance was not reliant on any one specific data split. Finally, the model was evaluated on a lock-box, pre-registered held out test set of participant data to show generalizability. 	5.0	0.0	Yes, the source code is available on GitHub (https://github.com/quietscientist/gma_score_prediction_from_video.git) under CC BY-NC 4.0. A container has not yet been released. 	prediction requires approximately 30 seconds on a standard machine. 	The model is interpretable as it is possible to inspect the weights assigned to each of the 38 movement features included in the model. 	The model is a binary classifier. 	4.0	0.0	"
AutoSklearn-2.0 employs a meta-learning approach to automate the selection and tuning of well-established machine learning algorithms like decision trees, random forests, and support vector machines. The final model selected was Stochastic Gradient Descent. "	All hyper parameters are available in the stored model details, which are available on the pre-registration site: 	All data used for training was numerical, and pre-processed to remove missing values. All other parameters of the data pre-processing and encoding were determined by AutoSklearn 	38 features were used as input. No feature selection was performed - features were determined by medical specialists and pre-registered in advance of any data collection or analysis. 	The number of training datapoints (> 600) is much larger than the number of features (38). Additionally, AutoML mitigates the risk of overfitting by abstracting away any feature and model parameter selection. Moreover, the trained model was evaluated on a lock-box holdout set of data after pre-registration to determine generalizability. 	The model does not use data from other ML algorithms as input. The inputs to the classifier are the features derived from the pose-estimate time-series data. 	p was selected by the AutoML optimizer based on the classification algorithm selected. The search space was restricted to choosing the best model as opposed to an ensemble, in this case SGD, so p corresponds to the weights given to each of the 38 features. 	AutoML was the primary approach used to prevent the risk of overfitting. 	8.0	0.0	6786955bdd85bd59b3220ba6				Melanie Segado, Laura Prosser, Andrea F. Duncan, Michelle J. Johnson, Konrad P. Kording	medRxiv	2024	0.0	6.0		0.0	2025-01-14T16:48:27.379Z	2025-01-14T16:48:27.379Z	c6de596a-e3ca-43e5-bb12-30bed5c8f63a	undenfined	d0zszar7uh
TITLE_MATCH DOI_MATCH 	44		Assessing infant risk of cerebral palsy with video-based motion tracking	https://doi.org/10.1101/2024.11.06.24316844	67892c3e69b4c4f26423638e	Pre-processed data has been made available on the OSF pre-registration site: https://osf.io/gztmd/	"Data were collected as part of standard clinical care by team members of the CHOP site of the US CP Early Detection and Intervention Network in a REDcap database between May 2019 and December 2023. This included the secure uploading of iPad- or iPhone-recorded videos, General Movement Assessments (GMA) scores and demographic information.  Exclusions were applied to intubated patients, those under the influence of sedation medications, within a week post-operative, on ECMO support, or diagnosed with myelomeningocele. For all infants who were between 10-20 weeks post-term age (corrected for preterm birth, if applicable) at the time of a clinic visit, and whose parents or legal guardians agreed to video recording for clinical care, clinicians captured a 1-2 minute video of the infant lying in supine.  

Data classes were defined according to the GMA scores: 
1 - Fidgety (Nneg = 820) 
2 - Absent Fidgety (Npos = 108) 
3 - Atypical Fidgety (excluded = 3) 

The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. 

"	"The true holdout set (n = 187) was randomly sampled from the dataset, stratified by GMA score, prior to any algorithm development, and pre-registered on OSF. 

"	The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. The remaining 931 videos were split into an analysis set (744) and a lock box holdout set (187) (Figure 1.). The analysis set was further split into train/val/test sets (558, 93, 93), each of which had a 12% representation of the “absent fidgety” movement type. The splits were stratified to preserve the ratios of boy/girl infants, as well as age, and race/ethnicity. There was a total recording duration of 60-120 s per infant.	4.0	0.0	All model outputs and CV scores are available. 	No other publicly available methods or datasets are available. In searching the model space, AutoML already tests simple baselines to ensure they do not out-perform the selected model. 	Performance metrics are reported with associated cross-validation scores. The goal of the paper was not the claim that the result is superior to that of others, but rather to show that the result persists even when applying strict rigorous ML approaches. 	Two standard measures are report: AUC-ROC which is a standard measure used in the machine learning community, and Preicision-Recall (PR)-AUC, which is more interpretable within the medical literature as it relates to the sensitivity/specificity measures that are widely used. 	Two evaluation strategies were used. First, 10 times 5-folds cross validation were performed on the train/test data to ensure that model performance was not reliant on any one specific data split. Finally, the model was evaluated on a lock-box, pre-registered held out test set of participant data to show generalizability. 	5.0	0.0	Yes, the source code is available on GitHub (https://github.com/quietscientist/gma_score_prediction_from_video.git) under CC BY-NC 4.0. A container has not yet been released. 	prediction requires approximately 30 seconds on a standard machine. 	The model is interpretable as it is possible to inspect the weights assigned to each of the 38 movement features included in the model. 	The model is a binary classifier. 	4.0	0.0	"
AutoSklearn-2.0 employs a meta-learning approach to automate the selection and tuning of well-established machine learning algorithms like decision trees, random forests, and support vector machines. The final model selected was Stochastic Gradient Descent. "	All hyper parameters are available in the stored model details, which are available on the pre-registration site: 	All data used for training was numerical, and pre-processed to remove missing values. All other parameters of the data pre-processing and encoding were determined by AutoSklearn 	38 features were used as input. No feature selection was performed - features were determined by medical specialists and pre-registered in advance of any data collection or analysis. 	The number of training datapoints (> 600) is much larger than the number of features (38). Additionally, AutoML mitigates the risk of overfitting by abstracting away any feature and model parameter selection. Moreover, the trained model was evaluated on a lock-box holdout set of data after pre-registration to determine generalizability. 	The model does not use data from other ML algorithms as input. The inputs to the classifier are the features derived from the pose-estimate time-series data. 	p was selected by the AutoML optimizer based on the classification algorithm selected. The search space was restricted to choosing the best model as opposed to an ensemble, in this case SGD, so p corresponds to the weights given to each of the 38 features. 	AutoML was the primary approach used to prevent the risk of overfitting. 	8.0	0.0	6786955bdd85bd59b3220ba6				Melanie Segado, Laura Prosser, Andrea F. Duncan, Michelle J. Johnson, Konrad P. Kording	GigaScience 	2025	0.0	6.0		0.0	2025-01-16T15:56:46.734Z	2025-01-16T15:56:46.734Z	94004a0d-5be8-4c6d-894d-fbe9884187b9	undenfined	b9zlfytluw
TITLE_MATCH DOI_MATCH 	44		Assessing infant risk of cerebral palsy with video-based motion tracking	https://doi.org/10.1101/2024.11.06.24316844	67892cf369b4c4f264236392	Pre-processed data has been made available on the OSF pre-registration site: https://osf.io/gztmd/	"Data were collected as part of standard clinical care by team members of the CHOP site of the US CP Early Detection and Intervention Network in a REDcap database between May 2019 and December 2023. This included the secure uploading of iPad- or iPhone-recorded videos, General Movement Assessments (GMA) scores and demographic information.  Exclusions were applied to intubated patients, those under the influence of sedation medications, within a week post-operative, on ECMO support, or diagnosed with myelomeningocele. For all infants who were between 10-20 weeks post-term age (corrected for preterm birth, if applicable) at the time of a clinic visit, and whose parents or legal guardians agreed to video recording for clinical care, clinicians captured a 1-2 minute video of the infant lying in supine.  

Data classes were defined according to the GMA scores: 
1 - Fidgety (Nneg = 820) 
2 - Absent Fidgety (Npos = 108) 
3 - Atypical Fidgety (excluded = 3) 

The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. 

"	"The true holdout set (n = 187) was randomly sampled from the dataset, stratified by GMA score, prior to any algorithm development, and pre-registered on OSF. 

"	The full dataset comprised 1060 infants. 129 were then excluded for meeting one or more exclusion criteria listed above. Six infants with a GMA score of 3 (“atypical fidgety”) were also excluded, since there were not enough infants in this group for model training/testing, and movement patterns differ from those of “absent fidgety” infants. The remaining 931 videos were split into an analysis set (744) and a lock box holdout set (187) (Figure 1.). The analysis set was further split into train/val/test sets (558, 93, 93), each of which had a 12% representation of the “absent fidgety” movement type. The splits were stratified to preserve the ratios of boy/girl infants, as well as age, and race/ethnicity. There was a total recording duration of 60-120 s per infant.	4.0	0.0	All model outputs and CV scores are available. 	No other publicly available methods or datasets are available. In searching the model space, AutoML already tests simple baselines to ensure they do not out-perform the selected model. 	Performance metrics are reported with associated cross-validation scores. The goal of the paper was not the claim that the result is superior to that of others, but rather to show that the result persists even when applying strict rigorous ML approaches. 	Two standard measures are report: AUC-ROC which is a standard measure used in the machine learning community, and Preicision-Recall (PR)-AUC, which is more interpretable within the medical literature as it relates to the sensitivity/specificity measures that are widely used. 	Two evaluation strategies were used. First, 10 times 5-folds cross validation were performed on the train/test data to ensure that model performance was not reliant on any one specific data split. Finally, the model was evaluated on a lock-box, pre-registered held out test set of participant data to show generalizability. 	5.0	0.0	Yes, the source code is available on GitHub (https://github.com/quietscientist/gma_score_prediction_from_video.git) under an MIT License. A container has not yet been released. 	prediction requires approximately 30 seconds on a standard machine. 	The model is interpretable as it is possible to inspect the weights assigned to each of the 38 movement features included in the model. 	The model is a binary classifier. 	4.0	0.0	"
AutoSklearn-2.0 employs a meta-learning approach to automate the selection and tuning of well-established machine learning algorithms like decision trees, random forests, and support vector machines. The final model selected was Stochastic Gradient Descent. "	All hyper parameters are available in the stored model details, which are available on the pre-registration site: 	All data used for training was numerical, and pre-processed to remove missing values. All other parameters of the data pre-processing and encoding were determined by AutoSklearn 	38 features were used as input. No feature selection was performed - features were determined by medical specialists and pre-registered in advance of any data collection or analysis. 	The number of training datapoints (> 600) is much larger than the number of features (38). Additionally, AutoML mitigates the risk of overfitting by abstracting away any feature and model parameter selection. Moreover, the trained model was evaluated on a lock-box holdout set of data after pre-registration to determine generalizability. 	The model does not use data from other ML algorithms as input. The inputs to the classifier are the features derived from the pose-estimate time-series data. 	p was selected by the AutoML optimizer based on the classification algorithm selected. The search space was restricted to choosing the best model as opposed to an ensemble, in this case SGD, so p corresponds to the weights given to each of the 38 features. 	AutoML was the primary approach used to prevent the risk of overfitting. 	8.0	0.0	6786955bdd85bd59b3220ba6				Melanie Segado, Laura Prosser, Andrea F. Duncan, Michelle J. Johnson, Konrad P. Kording	GigaScience 	2025	0.0	6.0		0.0	2025-01-16T15:59:47.832Z	2025-01-16T15:59:47.832Z	b4c5b4b5-99b6-4d85-a7af-c64b035a9afe	undenfined	k6ngu5cy7a
TITLE_MATCH DOI_MATCH 	24	3/8/2022 15:42:05	BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.	10.1371/journal.pcbi.1007617		Yes. Dataset available at URL: https://github.com/ncbi/BioConceptVec	Only one dataset employed, created using all PubMed abastracts 					No	"Compared with other methods (BioAgvWord and ""Yu et al."")"	No confidence interval	Precision, Recall, F1-score, Area Under Curve (AUC)	Intrinsic and Extrinsic evaluation from 9 independent datasets			Yes, available at URL: https://github.com/ncbi/BioConceptVec	Not stated	Black box	Embeddings			Novel approach called BioConceptVec. The paper explains why they used a novel approach	Yes, available at URL: https://github.com/ncbi/BioConceptVec				No.	Not stated				6312169df3794236aa987a01	32324731	PMC7237030		Chen Q, Lee K, Yan S, Kim S, Wei CH, Lu Z.	PLoS computational biology	2020									
TITLE_MATCH DOI_MATCH 	9	3/8/2022 15:46:06	BioConceptVec: Creating and evaluating literature-based biomedical concept embeddings on a large scale.	10.1371/journal.pcbi.1007617																															6312169df3794236aa987a01	32324731	PMC7237030		Chen Q, Lee K, Yan S, Kim S, Wei CH, Lu Z.	PLoS computational biology	2020									
DOI_MATCH 	44		CellBinDB: A Large-Scale Multimodal Annotated Dataset for Cell Segmentation with Benchmarking of Universal Models	not yet published	676a178069b4c4f264235f77	CellBinDB has been uploaded to Zenodo: https://zenodo.org/records/14312044. 	The data comes from the dataset CellBinDB published in this article. The images in CellBinDB come from two sources: 844 mouse images come from internal experiments based on Stereo-seq technology, and 200 human images come from the open access platform 10x Genomics. The dataset contains four staining types: DAPI, ssDNA, H&E, and mIF, covering more than 30 histologically different tissue types, including disease-related tissues. And some internal experimental data that will not be made public for the time being are used.	Independent	we manually annotated a small initial dataset, which was then used to train the model. We did not use a separate test set; instead, we employed mini-batch cross-validation to evaluate the model's performance. As part of the training process, we iteratively added newly generated annotations back into the training set, allowing for continuous training and improvement of the model.	4.0	0.0	No	Because our annotation process consists of manual modification steps, we do not need to use the model with the best segmentation performance, as long as the segmentation results are generally satisfactory. Therefore, we did not compare with other models.	No	F1 score on the test set.	independent dataset	3.0	2.0	This model is from a published work: https://github.com/STOmics/CellBin. MIT license.	Each image takes a few seconds on a consumer laptop.	The model is interpretable, but interpretation goes beyond the scope of this work.	classification	4.0	0.0	The algorithm is not new and is an open source model from published work. This model was chosen because it is suitable for the characteristics of our data.	https://github.com/STOmics/CellBin.  MIT license	The input data consists of microscope images.	We use microscope images as input. Instead of using feature selection, we use a deep learning framework for abstract feature extraction.	By comparing train and test accuracies.	No, the model does not use data from other machine learning algorithms as input.	Default hyperparameters from the scikit-learn implementations, as in the original study.	No.	7.0	1.0	676a1780dd85bd59b3ab6ad7				Can Shi, Jinghong Fan, Zhonghan Deng, Huanlin Liu, Qiang Kang, Yumei Li, Jing Guo, Jingwen Wang, Jinjiang Gong, Sha Liao, Ao Chen, Ying Zhang, Mei Li1	GigaScience	not yet published	0.0	6.0		0.0	2024-12-24T02:08:00.672Z	2024-12-24T02:08:00.672Z	5c1093bd-bbfc-4ac4-a8a1-b0d7f1d8095e	undenfined	c0idbhv7ex
TITLE_MATCH DOI_MATCH 	30	1/31/2022 8:45:48	Classification and analysis of a large collection of in vivo bioassay descriptions.	10.1371/journal.pcbi.1005641		Yes	Yes, CheMBL	Yes	Yes			Yes	No	No	precision, recall, F1-score	Cross-validation			Soft available separately.	No	Black box	Multiclass Multilabel Classification			Word2Vec + Random Forest	No	Doc2Vec	Word2Vec	No	No	No	No			6312169df3794236aa987a36	28678787	PMC5517062		Zwierzyna M, Overington JP.	PLoS computational biology	2017									
TITLE_MATCH DOI_MATCH 	10	5/20/2022 18:00:21	Classification and analysis of a large collection of in vivo bioassay descriptions.	10.1371/journal.pcbi.1005641			COMMENT  --  Not Applicable (ML in text-mining).																												65faa4f792c76639b82bab29	28678787	PMC5517062		Zwierzyna M, Overington JP.	PLoS computational biology	2017									
TITLE_MATCH DOI_MATCH 	30	1/24/2022 17:28:42	Classification of pallidal oscillations with increasing parkinsonian severity.	10.1152/jn.00840.2014		no.	Data collection was conducted through samples aggregated from mango plants. Data is composed of images.  They perform 3 experimental scenarios: Dataset size (510, 46.500, 62.047).	Not stated.	The overall original dataset has been divided into three subsets namely (i) training; (ii) validation and (iii) testing with 60%, 20% and 20% respectively.			no.	Not stated.	Not stated.	Accuracy.	Not stated.			no.	The cloud-based deployment of the CPU-only Tensorflow with Keras library has resulted in the computational time between 2 s to 2.99 s for the classification of the input image and provide a response to the mobile application.	Black box.	Classification.			The VGG-16 network architecture (Simonyan & Zisserman, 2014) has been updated to replace the last block containing the softmax classification with a fully-connected layer (FCL).	no.	Data augmentation: blur (+ affine transform), contrast (+ affine transform), noise (+ affine transform). In total, for every image in the original dataset, additional 150 images have been generated through the presented augmentation process.	The extracted features are flattened: input feature vector [7*7*512].	They report overfitting and state that they will evaluate the performance of the network training against the overfitting in future research activity.	no.	The weights of the VGG-16 network have been preserved from the pre-trained model. FCL layer network which consists of 2-layers. The first layer is activated by the ReLU function and consists of 256 nodes, followed by the second layer consisting of 16 nodes activated by softmax.	no.			6312169df3794236aa987a03	25878156	PMC4507953		Connolly AT, Jensen AL, Baker KB, Vitek JL, Johnson MD.	Journal of neurophysiology	2015									
