Missing_Reason	json_oid	json_title	json_doi	json_authors	json_year	json_email
No DOI or Title Match in Final TSV	644a8bcbbcc9ba89a8f2c933	Test GigaScience		Test 		
No DOI or Title Match in Final TSV	656dd348eb5de3c42e75eeca	IPEV: Identification of prokaryotic and eukaryotic virus-derived sequences in virome using deep learning	N/A	Hengchuang Yin, Shufang Wu, Jie Tan, Qian Guo, Mo Li, Jinyuan Guo, Yaqi Wang, Xiaoqing Jiang, Huaiqiu Zhu*	N/A	
No DOI or Title Match in Final TSV	65707db4eb5de3c42e75efc4	Pep2TCR: accurate prediction of CD4 T cell receptor binding specificity through transfer learning and ensemble approach	None	Kaixuan Diao, Tao Wu, Xiangyu Zhao, Nan Wang, Die Qiu, Wei-Liang Wang, Xinxiang Li, Xue-Song Liu.	None	
No DOI or Title Match in Final TSV	6606ad931502715bfe53d780	NASQQ: Nextflow automatization and standardization for 1H NMR metabolomics data preparation and analysis		Łukasz Pruss, Oskar Gniewek, Tomasz Jetka, Wojciech Wojtowicz, Kaja Milanowska-Zabel, Piotr Młynarz	2024	
No DOI or Title Match in Final TSV	6673d4b137ea6fa797a6c39d	Enhancing genotype-phenotype association with optimized machine learning and biological enrichment methods		Vaishnavi Jangale, Jyoti Sharma, Rajveer Singh Shekhawat and Pankaj Yadav		
No DOI or Title Match in Final TSV	669913a75954fa5eb89d0bd6					
No DOI or Title Match in Final TSV	66a270e837ea6fa797a6cef2	Augmenting ProteinBERT to use Secondary Structure in Making Predictions	None	Benjamin Strauss	2024	
No DOI or Title Match in Final TSV	66d5a08e66425b19f56eaf0e	Group-specific discriminant analysis enhances detection of sex differences in brain functional network lateralization		Shuo Zhou, Junhao Luo, Yaya Jiang, Haolin Wang, Haiping Lu, Gaolang Gong		
No DOI or Title Match in Final TSV	673370b4a96b586fdb27234d	Interpretable deep learning on graph-structured individual genetic data provides novel insights into Alzheimer’s disease	N/A	"Rachit Kumar, Joseph D Romano, Li Shen, Jason H Moore, Marylyn D Ritchie
"	N/A	
No DOI or Title Match in Final TSV	675ffeb569b4c4f264235ca3					
No DOI or Title Match in Final TSV	677eef3d69b4c4f2642360f8	Multi-omics Analysis of Umbilical Cord Hematopoietic Stem Cells from a Multi-ethnic Cohort of Hawaii Reveals the Intergenerational Effect of Maternal Pre-Pregnancy Obesity and Risk Prediction for Cancers		Yuheng Du, Paula A. Benny, Yuchen Shao, Ryan J. Schlueter, Alexandra Gurary, Annette Lum-Jones, Cameron B Lassiter, Fadhl M. AlAkwaa, Maarit Tiirikainen, Dena Towner, W. Steven Ward, Lana X Garmire	2024	
No DOI or Title Match in Final TSV	6780005469b4c4f26423614a	Multi-omics Analysis of Umbilical Cord Hematopoietic Stem Cells from a Multi-ethnic Cohort of Hawaii Reveals the Intergenerational Effect of Maternal Pre-Pregnancy Obesity and Risk Prediction for Cancers		Yuheng Du, Paula A. Benny, Yuchen Shao, Ryan J. Schlueter, Alexandra Gurary, Annette Lum-Jones, Cameron B Lassiter, Fadhl M. AlAkwaa, Maarit Tiirikainen, Dena Towner, W. Steven Ward, Lana X Garmire	2024	
No DOI or Title Match in Final TSV	678141b269b4c4f2642361f7	Cerebellocerebral Connectivity Predicts Body Mass Index: a New Open-Source Python-based Framework for Connectome-based Predictive Modeling		Tobias Bachmann; Karsten Mueller; Simon N. A. Kusnezow; Matthias Schroeter; Paolo Piaggi; Christopher Weise	2025	
No DOI or Title Match in Final TSV	6789691d69b4c4f26423639d	CNSistent integration and feature extraction from somatic copy number profiles		Adam Streck, Roland F Schwarz	2025	
No DOI or Title Match in Final TSV	678fa69f5a9877fd97a7d5dc	A Novel Dataset for Nuclei and Tissue Segmentation in Melanoma with baseline nuclei segmentation and tissue segmentation benchmarks	000	Mark Schuiveling, Hong Liu, Daniel Eek,  Gerben E. Breimer,  Karijn P.M. Suijkerbuijk, Willeke A.M. Blokx,  Mitko Veta	2024	
No DOI or Title Match in Final TSV	679624945a9877fd97a7d8e8	Quantitative Detection of DNA Methylation from Nanopore Sequencing Data without Raw Signals	NA	Zhixing Feng, Chenxi Zhang, Shuo Jin, Jiale Niu, and Huijuan Feng	NA	
No DOI or Title Match in Final TSV	67a1e88d5a9877fd97a7dc53	ViralBindPredict: Empowering Viral Protein-Ligand Binding Sites through Deep Learning and Protein Sequence-Derived Insights	NA	C. Marques-Pereira, T. Almeida, N. Rosário-Ferreira, A. M. B. Amorim, H. S. Pinto, C. Vaz, A. Francisco and I.S. Moreira	2025	
