pmid	old_title	new_title	old_doi	new_doi
26930205	Reconstructing Causal Biological Networks through Active Learning.	Reconstructing Causal Biological Networks through Active Learning.	10.1371/journal.pone.0150611	10.1371/journal.pone.0150611
34099048	Predicting anticancer hyperfoods with graph convolutional networks.	Predicting anticancer hyperfoods with graph convolutional networks.	10.1186/s40246-021-00333-4	10.1186/s40246-021-00333-4
26205532	Accurate contact predictions using covariation techniques and machine learning.	Accurate contact predictions using covariation techniques and machine learning.	10.1002/prot.24863	10.1002/prot.24863
31176619	Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	Quantification of Uncertainty in Peptide-MHC Binding Prediction Improves High-Affinity Peptide Selection for Therapeutic Design.	10.1016/j.cels.2019.05.004	10.1016/j.cels.2019.05.004
37039115	Delineating Regions-of-interest for Mass Spectrometry Imaging by Multimodally Corroborated Spatial Segmentation	Delineating regions of interest for mass spectrometry imaging by multimodally corroborated spatial segmentation.	10.1093/gigascience/giad021	10.1093/gigascience/giad021
37983748	Variance Analysis of LC-MS Experimental Factors and Their Impact on Machine Learning	Variability analysis of LC-MS experimental factors and their impact on machine learning.	https://doi.org/10.1093/gigascience/giad096	10.1093/gigascience/giad096
37395630	Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.	Deep neural networks with knockoff features identify nonlinear causal relations and estimate effect sizes in complex biological systems.	https://doi.org/10.1101/2021.07.17.452800	10.1093/gigascience/giad044
38000911	Imputation Methods for Single-Cell RNA-seq Data Using Neural Topic Models	Imputation method for single-cell RNA-seq data using neural topic model.	10.1093/gigascience/giad098	10.1093/gigascience/giad098
39460934	Discovering genotype-phenotype relationships with machine learning and the Visual Physiology Opsin Database (VPOD)	Discovering genotype-phenotype relationships with machine learning and the Visual Physiology Opsin Database (VPOD).	10.1101/2024.02.12.579993	10.1093/gigascience/giae073
30109435	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure	P2Rank: machine learning based tool for rapid and accurate prediction of ligand binding sites from protein structure.	10.1186/s13321-018-0285-8	10.1186/s13321-018-0285-8
39657103	Stratum corneum nanotexture feature detection using deep learning and spatial analysis: a non-invasive tool for skin barrier assessment	Stratum corneum nanotexture feature detection using deep learning and spatial analysis: a noninvasive tool for skin barrier assessment.	10.1093/gigascience/giae095	10.1093/gigascience/giae095
39931027	Opaque Ontology: Neuroimaging classification of ICD-10 Diagnostic Groups in the UK Biobank	Opaque ontology: neuroimaging classification of ICD-10 diagnostic groups in the UK Biobank.	https://doi.org/10.1093/gigascience/giae119	10.1093/gigascience/giae119
37489753	MuLan-Methyl—multiple transformer-based language models for accurate DNA methylation prediction	MuLan-Methyl-multiple transformer-based language models for accurate DNA methylation prediction.	https://doi.org/10.1093/gigascience/giad054	10.1093/gigascience/giad054
37602759	KGML-xDTD: a knowledge graph–based machine learning framework for drug treatment prediction and mechanism description 	KGML-xDTD: a knowledge graph-based machine learning framework for drug treatment prediction and mechanism description.	10.1093/gigascience/giad057	10.1093/gigascience/giad057
37776368	Confound-leakage: confound removal in machine learning leads to leakage	Confound-leakage: confound removal in machine learning leads to leakage.	10.1093/gigascience/giad071	10.1093/gigascience/giad071
37889008	SpheroScan: a user-friendly deep learning tool for spheroid image analysis	SpheroScan: a user-friendly deep learning tool for spheroid image analysis.	10.1093/gigascience/giad082	10.1093/gigascience/giad082
37882604	Machine learning–based feature selection to search stable microbial biomarkers: application to inflammatory bowel disease	Machine learning-based feature selection to search stable microbial biomarkers: application to inflammatory bowel disease.	10.1093/gigascience/giad083	10.1093/gigascience/giad083
