index	doi	title	reason
140	10.1128/msystems.00058-19	Intermittent Hypoxia and Hypercapnia Reproducibly Change the Gut Microbiome and Metabolome across Rodent Model Systems.	No unique match in Primary or Secondary fields
170	10.1371/journal.pcbi.1004067	Exploring bacterial organelle interactomes: a model of the protein-protein interaction network in the Pdu microcompartment.	No unique match in Primary or Secondary fields
172	10.3892/ol.2020.11381	Gene expression profiling identified TP53<sup>Mut</sup>PIK3CA<sup>Wild</sup> as a potential biomarker for patients with triple-negative breast cancer treated with immune checkpoint inhibitors.	No unique match in Primary or Secondary fields
174	10.1186/1755-8794-8-s1-s7	Performance of case-control rare copy number variation annotation in classification of autism.	No unique match in Primary or Secondary fields
177	10.1371/journal.pcbi.1005158	Machine Learning for Characterization of Insect Vector Feeding.	No unique match in Primary or Secondary fields
180	10.3389/fgene.2020.566159	Identifying 8-mRNAsi Based Signature for Predicting Survival in Patients With Head and Neck Squamous Cell Carcinoma via Machine Learning.	No unique match in Primary or Secondary fields
187	10.1155/2015/141363	KIR Genes and Patterns Given by the A Priori Algorithm: Immunity for Haematological Malignancies.	No unique match in Primary or Secondary fields
194	10.1155/2018/3635845	An Extreme Learning Machine Based on Artificial Immune System.	No unique match in Primary or Secondary fields
196	10.1109/tcbb.2016.2586042	Detecting Pairwise Interactive Effects of Continuous Random Variables for Biomarker Identification with Small Sample Size.	No unique match in Primary or Secondary fields
209	10.1371/journal.pone.0204371	LogLoss-BERAF: An ensemble-based machine learning model for constructing highly accurate diagnostic sets of methylation sites accounting for heterogeneity in prostate cancer.	No unique match in Primary or Secondary fields
212	10.1371/journal.pone.0206634	Predicting bacterial growth conditions from mRNA and protein abundances.	No unique match in Primary or Secondary fields
213	10.1038/s41467-021-22869-8	CopulaNet: Learning residue co-evolution directly from multiple sequence alignment for protein structure prediction.	No unique match in Primary or Secondary fields
214	10.1371/journal.pone.0128570	A Ranking Approach to Genomic Selection.	No unique match in Primary or Secondary fields
216	10.3390/diagnostics11091582	Mortality Prediction Utilizing Blood Biomarkers to Predict the Severity of COVID-19 Using Machine Learning Technique.	No unique match in Primary or Secondary fields
217	10.1080/07391102.2016.1163294	OH-PRED: prediction of protein hydroxylation sites by incorporating adapted normal distribution bi-profile Bayes feature extraction and physicochemical properties of amino acids.	No unique match in Primary or Secondary fields
219	10.1371/journal.pcbi.1006931	Adaptive multi-view multi-label learning for identifying disease-associated candidate miRNAs.	No unique match in Primary or Secondary fields
220	10.1124/jpet.116.232660	Molecular Properties of Drugs Interacting with SLC22 Transporters OAT1, OAT3, OCT1, and OCT2: A Machine-Learning Approach.	No unique match in Primary or Secondary fields
227	10.1038/s41467-021-23472-7	A new molecular classification to drive precision treatment strategies in primary Sjögren's syndrome.	No unique match in Primary or Secondary fields
229	10.1109/jbhi.2020.3023246	Contrastive Cross-Site Learning With Redesigned Net for COVID-19 CT Classification.	No unique match in Primary or Secondary fields
230	10.1016/j.ymeth.2019.03.004	Unsupervised classification of multi-omics data during cardiac remodeling using deep learning.	No unique match in Primary or Secondary fields
235	10.1109/jbhi.2020.3027680	Identification of lncRNA Signature Associated With Pan-Cancer Prognosis.	No unique match in Primary or Secondary fields
236	10.1002/prot.25798	Ensembling multiple raw coevolutionary features with deep residual neural networks for contact-map prediction in CASP13.	No unique match in Primary or Secondary fields
239	10.1371/journal.pone.0164649	Identification of an Efficient Gene Expression Panel for Glioblastoma Classification.	No unique match in Primary or Secondary fields
240	10.1016/j.neurobiolaging.2018.10.016	Brain age from the electroencephalogram of sleep.	No unique match in Primary or Secondary fields
246	10.1016/j.ebiom.2021.103546	Nasopharyngeal metabolomics and machine learning approach for the diagnosis of influenza.	No unique match in Primary or Secondary fields
