PMCID,Field,JSON_Value,TSV_Value
PMC7659093,publication/title,"Random forest algorithm to identify factors associated with sports-related dental injuries in 6 to 13-year-old athlete children in Hamadan, Iran-2018 -a cross-sectional study","Random forest algorithm to identify factors associated with sports-related dental injuries in 6 to 13-year-old athlete children in Hamadan, Iran-2018 -a cross-sectional study."
PMC7659093,publication/authors,"The authors who contributed to this article are Maryam Farhadian, Sima Torkaman, and Farzad Mojarad.

Maryam Farhadian is one of the primary contributors to the research and the writing of the article. She played a significant role in the study's design, data collection, and analysis.

Sima Torkaman also made substantial contributions to the study, particularly in the areas of data analysis and interpretation of the results.

Farzad Mojarad, who is affiliated with the Pediatric Dentistry Department at Hamadan University of Medical Sciences, served as the corresponding author. He likely oversaw the overall direction of the research, ensured the integrity of the study, and was responsible for the final approval of the manuscript.","Farhadian M, Torkaman S, Mojarad F"
PMC7659093,publication/journal,"BMC Sports Science, Medicine and Rehabilitation","BMC sports science, medicine & rehabilitation"
PMC7659093,publication/doi,https://doi.org/10.1186/s13102-020-00217-5,10.1186/s13102-020-00217-5
PMC8568050,publication/title,Personalized Risk Prediction of 30-day Readmissions with Venous Thromboembolism using Machine Learning,Personalized Risk Prediction for 30-Day Readmissions With Venous Thromboembolism Using Machine Learning.
PMC8568050,publication/authors,"The authors who contributed to this article are:

Jung In Park, PhD, RN, who is an Assistant Professor at the Sue & Bill Gross School of Nursing, University of California, Irvine. Park's contributions to the paper include being the corresponding author and likely played a significant role in the study's design, data analysis, and manuscript preparation.

Doyub Kim, PhD, who is a Principal Software Engineer at NVIDIA in Santa Clara, CA. Kim's expertise likely contributed to the technical aspects of the study, particularly in the development and implementation of the machine learning models.

Jung-Ah Lee, PhD, RN, who is an Associate Professor at the Sue & Bill Gross School of Nursing, University of California, Irvine. Lee's contributions likely involved the study's design, data interpretation, and manuscript preparation, leveraging her nursing and research background.

Kai Zheng, PhD, who is a Professor at the Donald Bren School of Information & Computer Sciences, University of California, Irvine. Zheng's contributions likely focused on the computational and data science aspects of the study, including the development and validation of the machine learning models.

Alpesh Amin, MD, MBA, who is a Professor at the School of Medicine, University of California, Irvine. Amin's contributions likely involved the clinical aspects of the study, ensuring the relevance and applicability of the findings to medical practice, particularly in the context of venous thromboembolism and patient readmissions.","Park JI, Kim D, Lee JA, Zheng K, Amin A"
PMC8568050,publication/journal,Journal of Nursing Scholarship,Journal of nursing scholarship : an official publication of Sigma Theta Tau International Honor Society of Nursing
PMC4407517,publication/title,Applying Machine Learning Techniques in Detecting Bacterial Vaginosis,APPLYING MACHINE LEARNING TECHNIQUES IN DETECTING BACTERIAL VAGINOSIS.
PMC4407517,publication/authors,Not enough information is available.,"Baker YS, Agrawal R, Foster JA, Beck D, Dozier G"
PMC4407517,publication/journal,Proc Int Conf Mach Learn Cybern.,Proceedings. International Conference on Machine Learning and Cybernetics
PMC4407517,publication/year,2015,2014
PMC4407517,publication/doi,10.1109/ICMLC.2014.7009123,10.1109/icmlc.2014.7009123
PMC9347213,publication/title,Not enough information is available.,End-to-End Deep Learning Model to Predict and Design Secondary Structure Content of Structural Proteins.
PMC9347213,publication/authors,"The authors who contributed to this article are:

Chi-Hua Yu, who is affiliated with the Laboratory for Atomistic and Molecular Mechanics (LAMM) at the Massachusetts Institute of Technology.

Wei Chen, who is part of the Department of Engineering Science at National Cheng Kung University.

Yu-Hsuan Chiang, who is associated with the Department of Civil Engineering at National Cheng Kung University.

Kai Guo, who is also affiliated with the Laboratory for Atomistic and Molecular Mechanics (LAMM) at the Massachusetts Institute of Technology.

Zaira Martin Moldes, who is part of the Department of Biomedical Engineering at Tufts University.

David L. Kaplan, who is also affiliated with the Department of Biomedical Engineering at Tufts University.

Markus J. Buehler, who is affiliated with several institutions, including the Laboratory for Atomistic and Molecular Mechanics (LAMM), the Center for Computational Science and Engineering, and the Center for Materials Science and Engineering, all at the Massachusetts Institute of Technology. Buehler is also the corresponding author for this publication.","Yu CH, Chen W, Chiang YH, Guo K, Martin Moldes Z, Kaplan DL, Buehler MJ"
PMC9347213,publication/journal,ACS Biomater Sci Eng.,ACS biomaterials science & engineering
